mean_Delta,mean_Theta,mean_Alpha,mean_Beta,mean_Gamma,mean_Slow,mean_Low_beta,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp1_Slow,Fp1_Low_beta,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,Fp2_Slow,Fp2_Low_beta,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F7_Slow,F7_Low_beta,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,F3_Slow,F3_Low_beta,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F4_Slow,F4_Low_beta,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,F8_Slow,F8_Low_beta,T3_Delta,T3_Theta,T3_Alpha,T3_Beta,T3_Gamma,T3_Slow,T3_Low_beta,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C3_Slow,C3_Low_beta,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,C4_Slow,C4_Low_beta,T4_Delta,T4_Theta,T4_Alpha,T4_Beta,T4_Gamma,T4_Slow,T4_Low_beta,T5_Delta,T5_Theta,T5_Alpha,T5_Beta,T5_Gamma,T5_Slow,T5_Low_beta,P3_Delta,P3_Theta,P3_Alpha,P3_Beta,P3_Gamma,P3_Slow,P3_Low_beta,P4_Delta,P4_Theta,P4_Alpha,P4_Beta,P4_Gamma,P4_Slow,P4_Low_beta,T6_Delta,T6_Theta,T6_Alpha,T6_Beta,T6_Gamma,T6_Slow,T6_Low_beta,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O1_Slow,O1_Low_beta,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,O2_Slow,O2_Low_beta,alpha_frontal,alpha_temporal,alpha_asymmetry,beta_frontal,beta_temporal,beat_asymmetry,participant_id,label
-105.61005684995743,-117.49080482152742,-119.14575227702846,-121.1822395530038,-121.88004209258003,-118.8916905763984,-121.63195466853627,-100.98051320237441,-115.60561795894334,-118.87641027853344,-120.88518622536228,-121.1602673298849,-118.03891747677416,-122.10833197064096,-97.56495427227705,-116.17016392087727,-119.47065875769277,-120.9582970358066,-121.37989496435155,-118.68394841181683,-122.56176047864423,-101.51323059157832,-116.52821100446249,-118.80397693983677,-121.20142154279095,-121.31993350969287,-118.26296149743843,-121.82662501721455,-102.21151264155822,-112.03673565098491,-117.04683171782318,-122.37355740578981,-128.27560490226534,-115.61132423584253,-122.59589567321336,-103.26447416147371,-119.14681838947638,-120.79100011721373,-121.31456291796246,-122.16149088901781,-120.73284817518953,-121.45652104417309,-99.34827088414512,-116.35535828102594,-118.85902934307752,-120.84420787969687,-121.34689416128876,-118.43218600147127,-122.31439356610728,-105.40966959448876,-116.33903539973169,-119.69806321873193,-121.12631347398104,-121.68667190599382,-118.78018763760934,-121.83215563040811,-110.98967888369536,-119.44715696721636,-121.22412354352494,-121.54105124163125,-121.97202027378748,-120.84196990222108,-122.49586066199821,-109.6007001959227,-120.59260199850866,-122.16707641925915,-121.85155147119488,-121.43081630925823,-121.74285408920517,-122.69697331317974,-107.41901483744795,-116.66145547594465,-118.80678338695178,-120.55056507390594,-121.35132993961726,-118.53389704199478,-120.50128158520104,-108.2934505355813,-118.94498375474582,-119.08469086770536,-121.00023111202827,-121.35075651331535,-119.25872177040327,-121.06628913679876,-112.60670148418072,-121.22200726390689,-120.74423634482324,-121.47820032342558,-121.57288539487058,-121.14856979751497,-121.57003654345739,-109.28288878335576,-118.87725594775391,-120.23617160254803,-121.60758231047569,-121.81535184945925,-120.06600264050525,-121.41808657988419,-112.57256371868684,-117.52020096451304,-117.67353495985449,-120.90416720705934,-121.29162249543796,-118.09633793697279,-121.124158113513,-99.93190045840035,-116.06690069244496,-117.09385168012992,-120.34807373771116,-120.86988603406664,-116.93227179591054,-119.73810581845557,-108.77138535415241,-118.33837347390234,-115.7555972547491,-120.93086388923867,-121.09524700897292,-117.10405081150452,-120.80479956369084,0.015742526622036655,-0.003736946416244916,0.01200558020579174,-0.004345695992157597,-0.0023823065058373705,-0.006728002497994967,2,1
-108.59253524295988,-115.9652167360565,-119.92245240647479,-121.61391059133896,-121.48502717211386,-118.78136878075004,-120.34766408969838,-108.45904690825792,-115.42282281690045,-119.48563601743218,-121.59319739628825,-120.78464721782228,-118.28210765320682,-120.10377516098451,-108.53271478516572,-115.33120057618532,-119.86367176926356,-121.50533772032486,-120.83367004923831,-118.32715295115288,-119.96800466674965,-110.19445349084287,-115.82482392726284,-119.84010580267281,-121.62641769650209,-120.94209374283794,-118.76619547377544,-119.81461531073056,-97.2559251242534,-110.1715960140304,-116.48378215850424,-122.58528137168715,-128.75665323834204,-114.14124579442445,-119.98781350963824,-114.11978762341296,-115.83842609685233,-120.35617024401112,-121.60866777927806,-121.14414875968669,-118.98430438687767,-120.98625070856798,-108.26221198240182,-114.73903957760295,-118.73899644752862,-120.97596400383372,-120.82613003363183,-117.4204186932688,-119.21065027901463,-113.91139211255003,-117.03920596022773,-120.53972791909626,-122.11127195820531,-120.65431897767726,-119.37878485299588,-120.33544192508835,-115.2111913710245,-119.86196351606968,-121.54150258738908,-122.13923143510938,-120.83458531749541,-121.34195687677281,-120.66747017672965,-111.55460087316554,-117.79530166725435,-123.21358768531073,-122.1510742765992,-121.51712059661577,-121.4612588852661,-121.59264559239489,-109.43423831618676,-116.86359358182652,-120.14384888771319,-121.2533312964328,-121.00663307062015,-119.23815218698317,-120.43984912078804,-108.90983142945925,-116.69011837924192,-119.9977698065366,-121.41509147755396,-120.94675249142682,-119.08517862577075,-120.15426314310757,-114.54878003776005,-118.95280236926999,-122.4111074885797,-122.00057789270353,-121.17565622952974,-121.55132026481235,-120.6009788912588,-105.9762554159573,-117.47678693303051,-121.98760336917118,-122.06419258312641,-121.79823227317894,-120.85430832887089,-121.41080696391838,-110.15846018620485,-116.28328502730312,-119.37781278890058,-121.1348807596029,-121.30455334762021,-118.80621163609827,-120.32847725858105,-95.86022652399438,-111.49305654450092,-118.87974745955057,-120.64418701814544,-120.18012839592376,-115.96580831867661,-119.89345392138755,-105.091447706721,-115.65944478934493,-115.89816807193628,-121.01386479603028,-121.05511101217434,-116.89749556304777,-120.06812880623453,0.016350231648947746,-0.0016448111526148567,0.01470542049633289,-0.00399933575669936,-0.003525330513553852,-0.0075246662702532115,2,1
-108.45672653052958,-116.92583877001078,-118.330784815717,-121.74081057593163,-121.70405889820083,-118.19161483197945,-120.95982886969084,-109.2914224336078,-118.6059656540357,-119.64120434899124,-120.88121997018837,-120.6182739891724,-119.6080926574229,-120.55163744788553,-107.17520089370096,-116.93864788563127,-118.27608332167243,-120.78635324428721,-120.27981816414369,-117.89287380799594,-119.71670592185987,-109.96807623910546,-117.52686655084892,-118.79164426205568,-120.70189561960284,-120.88469636201047,-118.59825024278663,-119.7869116128688,-102.77964005980836,-111.46225462301253,-115.86083033318275,-122.23292268275773,-128.09717490920295,-114.31583561486865,-119.48716540002252,-112.5263590060354,-117.79602713724053,-120.52764798654476,-122.06541619147723,-121.02892346721211,-119.7186888861572,-122.35537641935963,-111.14819216709728,-117.00562443336474,-118.72329313832826,-121.19508247226817,-120.74598065530242,-118.21269565648615,-120.92610413501718,-112.67702420357963,-117.99765251973213,-118.40887445814013,-121.01446567563987,-121.07998270378269,-118.79988543292019,-120.9205754084714,-114.88417386842201,-120.88928377381329,-120.54739399350483,-122.44661855201724,-121.37205044327348,-121.32274128883351,-122.66656682910799,-104.95813809645705,-116.18972279095965,-120.83553776143498,-122.85502207400029,-121.63144802549085,-119.48881843522483,-123.77368652300032,-109.32583675126571,-116.49124600650619,-120.4675696321296,-121.55215470076122,-121.30685430380656,-119.03822874861291,-120.17473561824491,-108.9873973631536,-116.80261075882453,-116.10716928443236,-122.12892673824453,-121.8090141398713,-117.11453572938078,-120.97325798866214,-115.78394597928599,-120.50484061035714,-118.72460987988086,-123.04255151974043,-121.86407392903449,-120.17199996429355,-123.12009725083246,-105.5021680074208,-117.91862928384859,-119.99173053944531,-122.59013754845425,-121.993071267916,-119.63304576729404,-121.57776662437507,-109.1142840743265,-117.44634379271952,-117.89848546340416,-121.32527818819541,-121.5414566717856,-117.96330973405848,-119.9226700046628,-93.80515080702106,-109.45912356617526,-113.14186521221262,-121.57559017820122,-121.66720959022479,-112.53998789094821,-120.10016371310712,-107.38061453818554,-117.77858093310253,-115.34861743611194,-121.45933385907028,-121.34491374898367,-116.64684745438745,-119.30384101757559,0.01974215362159025,0.008618242714679295,0.028360396336269543,-0.0006856636522884344,0.0022166653609923623,0.001531001708703928,2,1
-106.59078796873516,-117.16089086649572,-119.01193421376782,-121.03684519579758,-122.3150266558905,-118.47954048119163,-120.19108085567588,-103.53086180761466,-116.56215922420513,-119.83473639439,-120.51984659911817,-121.79366218147915,-118.41341809244757,-118.87944587435759,-105.56327770216492,-115.92389133014383,-119.91142483985989,-120.25067671920642,-121.4090077965803,-118.3892488063235,-119.62815312139071,-104.79436610161227,-117.88341758114005,-120.15844282486918,-120.75561452415032,-122.01502908742665,-119.19095596814977,-120.08443596549867,-103.33884462689718,-110.69698946228105,-115.91658138432265,-122.95842514840045,-128.5504168603253,-113.72368454229401,-121.67267625387665,-108.85982680008836,-117.22465082762051,-120.85795008556384,-120.70391948179795,-122.10172336171739,-119.60303835477579,-119.8981170845133,-107.05977998242166,-115.53851248700357,-120.96617390620179,-120.40081431299781,-121.52993620644114,-118.85429880300217,-119.57137865613623,-107.99128041496945,-118.78931830481025,-119.44476646451821,-120.65104808026008,-122.17186071459531,-119.07750048403032,-120.29933644820952,-112.43873017126168,-121.32120102872688,-122.85523218692788,-121.48607366022046,-122.34030816247213,-122.05388677633732,-120.90798715045001,-107.98647507460025,-118.19591934691105,-121.60383038524051,-121.67548088417752,-122.06897026698155,-120.33895339052964,-121.2047681151399,-109.07969082723133,-117.3936180857025,-119.65439140091462,-121.26680825598005,-121.5159550552071,-119.09768708276778,-119.93076013831653,-107.45081173149015,-118.42865202167319,-118.39221456073471,-120.7640262670134,-122.04081083117238,-118.53026244398445,-120.55504491361576,-111.48746538870398,-121.74495987369535,-120.70319672815589,-121.47970553469416,-122.18560693168482,-121.00488749182321,-121.20665861737724,-104.06953684839458,-118.67029057294957,-119.40970293654044,-121.80426933930416,-122.20727097098955,-119.99522106008413,-120.91415760053988,-109.18296711024465,-117.63874462945682,-116.35345259833038,-120.63941964515094,-121.73222411140456,-117.56862396564381,-119.63632630582924,-96.4291154114728,-110.518495747839,-115.5653863649028,-120.6294197947088,-121.7154096157995,-114.10031640833229,-119.83104906552782,-106.1895775005944,-118.04343333977256,-112.56346435881225,-120.6039748855801,-121.66223433997155,-115.73066402854028,-118.83699838003503,0.020869511051570352,0.0008767280414864025,0.021746239093056754,-0.00925258135402135,0.002545327513418971,-0.006707253840602379,2,1
-107.47756561972342,-117.96775659684266,-118.0864337075083,-121.20906266615053,-121.74160494162199,-118.28441337913094,-120.34426045220978,-103.62672758865506,-116.44829238669217,-117.60551496638934,-120.56485898756736,-120.76162484761886,-117.43793232027893,-119.80068981137077,-104.7849952448146,-116.62482997970159,-118.16407214544384,-120.3512162956507,-120.62149265342364,-117.61035296403962,-119.09870861484657,-103.44222172772633,-117.83802957124358,-117.25101430519248,-120.98741995177652,-121.06283929484894,-117.99841850327269,-119.83839954249936,-100.98779429680215,-110.82274412185416,-116.26031822565517,-122.85775565526252,-127.85179304982199,-114.87564012763012,-121.9200090823494,-111.00057282548374,-120.06925886039858,-119.26202324320214,-120.834886862574,-121.38143403748713,-119.52444266106993,-119.33953035294215,-106.71782837381573,-117.3086861034687,-118.76281330678403,-120.36375402410428,-120.4613242689007,-118.07729941000899,-120.0179131395501,-107.00696662274723,-118.7276955209072,-116.4098135118825,-121.25138977844051,-121.1156937801577,-117.80627632907057,-120.11221615563666,-113.67902312797244,-122.33291243197391,-119.96629096029528,-121.70753117050754,-121.32042529748689,-121.08459703965936,-121.20666399336822,-109.53271607270685,-120.76256716353573,-120.99224060795534,-121.73360486343256,-121.77420410315821,-121.09407496878713,-121.27635011471666,-108.36342441902987,-118.45779140875798,-118.76557032758528,-120.7095072798168,-121.20990918187651,-118.72555985717024,-119.91287008755563,-110.04379303974102,-118.67955046769025,-116.49392684686062,-121.6643859191842,-121.68967329416371,-117.70446300804467,-121.40229861738021,-114.48221029569156,-120.8432764333666,-120.1219216981708,-122.22089773185083,-121.93230727064469,-120.29895666599913,-121.98036472708601,-109.34701048671104,-119.17663264075459,-120.79556193380378,-121.99767909026099,-122.1738548343931,-120.15946422595246,-121.31390584328824,-109.46643579763935,-117.64104144264611,-118.42690915471579,-120.87897226756158,-121.48753814152111,-118.41305655744453,-119.69182548700772,-98.72114298779091,-113.85361182541396,-115.5191526978935,-120.27141812435734,-121.4783824912329,-115.01615802668613,-118.77113763083756,-108.4381870082469,-117.89718519107767,-114.58579538830288,-120.9497246560607,-121.54318251921542,-116.72392140098074,-119.8252840349214,0.012744884408105624,0.010017021242796529,0.02276190565090215,-0.008300902201183475,-0.002239545749796245,-0.01054044795097972,2,1
-107.646370969762,-117.46555714774354,-119.10533500773558,-121.67666316132248,-122.19157430180445,-118.65682388377338,-121.57033610046625,-108.20329002218585,-116.73147773694488,-119.7184572426479,-120.70208343890368,-121.53798628467088,-118.45289541476401,-121.23779928228198,-110.09884965202839,-116.742091780591,-120.28811299953037,-120.91195833985206,-121.47405214527329,-118.77810879383986,-121.59484549251559,-107.74842733426081,-117.34465195937112,-120.25024524877628,-121.06498322227114,-121.76938790894935,-118.97169349392902,-120.50843428781201,-103.10820955410657,-113.03216438709116,-118.65830172493597,-122.7621294902521,-128.51800372335796,-116.16763505532559,-121.45750828138812,-109.85073092643364,-116.79624926382898,-120.92340152641671,-122.00626477765772,-122.32178995643979,-119.20118930867284,-122.15299452943493,-107.31402913623202,-114.90192896101995,-119.64126490467243,-120.82522242687136,-121.87598322053836,-117.73609061627414,-121.28904566402952,-109.11995464753514,-118.88630571462426,-120.71949346597856,-120.74620458341232,-122.13200467089843,-119.92515483830591,-120.55430545427718,-114.4917972657513,-120.64418539873917,-122.54229027297364,-122.26185479755559,-122.2247645481983,-121.5114438489463,-121.95333109784515,-105.59974013318617,-115.37210418938041,-121.04698993175134,-122.15869680556719,-121.92595472472668,-119.01067932553104,-121.88407971362359,-111.7937856722505,-116.94744069198747,-118.03295023493456,-121.64353830642283,-121.93185209764334,-117.78358911309222,-122.46108358177254,-107.42527279677869,-119.26555182843867,-119.18336724192773,-121.7145553436993,-121.58086634479771,-119.6295899809739,-120.99887227377054,-114.70317451090133,-123.29379214076381,-121.58278713105116,-122.35360475464388,-121.75564749751106,-122.61218435035941,-122.45106016478472,-104.74007366615226,-119.06982701596178,-118.50190783887993,-123.01574044856307,-122.25663220682371,-119.42050267787684,-123.82721747118447,-107.94902279711621,-119.19005809698615,-115.68042661428309,-122.04748193129747,-121.56504827697407,-117.5869153402794,-121.5804314502327,-94.88720999299468,-111.30450002941792,-116.0703186504256,-121.02392815392143,-121.08252798699033,-114.85619076884353,-120.16686494845898,-105.3083674082782,-119.92658516874963,-112.84504509458408,-121.58836376026863,-121.11268723507774,-116.86531921336002,-121.00750391404756,0.00945439393217919,-0.011252421920378123,-0.001798027988198933,-0.0030880813466752015,0.0037020284452314385,0.0006139470985562371,2,1
-104.67751939674929,-116.28463576378032,-118.17065727878624,-120.37144597793251,-122.19582401308539,-117.64537588770878,-120.37137863966002,-102.66387713821386,-116.45652451862084,-118.33901351251268,-120.29380464999497,-121.54668743123254,-117.59935932989895,-120.64672333565332,-105.15001589685545,-115.85871273261402,-117.75880917670376,-120.43744206473393,-121.60368182887952,-117.08886341225464,-120.89220239193344,-103.40328680554512,-117.64607180753103,-118.80058130094909,-120.43816743118272,-121.88638124092523,-118.47934587949688,-120.39404749949486,-101.9816468203791,-110.19825727027911,-116.0041720247118,-121.5518789815193,-128.23484557528204,-114.16873858641662,-120.3004308204411,-106.71468234679878,-116.68521220146665,-119.15425531094154,-120.15924751615917,-122.02539249269893,-118.13740632845094,-119.76845833906839,-105.34238666660852,-117.01740103860539,-118.62232179353494,-120.5343169017885,-121.24098701012734,-118.15927004250956,-120.79376419425958,-107.4864847673239,-118.32934808223344,-119.84448252269311,-120.18195474833438,-121.67679874997951,-119.3355585904051,-120.79517286562155,-108.6830823597897,-120.20919098362187,-121.59384459481993,-120.91450962992728,-122.257221131865,-120.84367481961993,-121.15409746964099,-107.16037363550984,-117.43119100287824,-121.88556740004483,-120.70579155594348,-121.96576774438917,-119.95833567997192,-121.04228514490214,-108.00550742051718,-115.68783512341984,-118.82265289396469,-120.07138256148451,-121.299642124023,-117.83680351473367,-120.750288675501,-105.35041949169522,-116.39450672238365,-117.47829979289317,-120.38953611745107,-121.71814170951008,-117.66022418645242,-120.47871812161887,-108.92988662349622,-119.78711107470924,-119.51257374429834,-120.76685645879894,-122.12679015049886,-119.70283991223008,-120.74475711780151,-101.98917730721152,-116.70893466019038,-119.49267922960819,-120.86382843431862,-122.38232382611895,-118.59838123709567,-120.76878294827969,-105.58290402897865,-116.87786003435873,-115.25099334919105,-120.21971873986351,-121.97774725320139,-116.47590666995545,-120.02909455405543,-93.90460970108205,-109.25175821621406,-115.56584262408258,-118.91105877757934,-121.13066433120761,-113.59129812193251,-119.04252183176493,-102.49196933798326,-116.01425675135856,-112.60442718963029,-119.50364107784053,-122.06011160942693,-114.69000789191644,-118.34071292452384,0.01339557898018028,-0.004281400650091798,0.009114178330088481,-0.00576155299732758,-0.00046023163752050754,-0.006221784634848088,2,1
-105.07347558519444,-116.57974602884217,-118.53916881022849,-121.51954458980278,-122.89037253321247,-118.1198543889798,-121.53240756154521,-102.23854842205293,-113.88016496167059,-118.97871032273687,-121.25347627370296,-122.19481734699177,-117.24081444074096,-121.11286801813192,-102.55401018886633,-114.07230538318044,-119.74754513483985,-121.20949172582493,-122.39987111247804,-117.59385265752141,-120.8751465279571,-104.08272840939355,-115.17484822103357,-120.03497040623324,-121.53412863221831,-122.52337888301435,-118.59243797011123,-121.55746965498007,-105.69705045470855,-112.74411139803199,-117.15767669849554,-123.62034115970249,-130.24984145766365,-115.55435304699098,-122.62309422836178,-107.51172740016685,-116.54092393766115,-120.16748911042106,-121.95194591230086,-122.72286422704624,-118.85777960755442,-121.91770795489474,-104.99207165910929,-115.3424240258194,-119.92884804264509,-121.20978591148302,-122.34504756102275,-118.30803405436778,-121.8377827120325,-108.16053800594837,-117.60527909098373,-119.40964302559948,-120.88260392818187,-122.3109725365924,-119.07218524290622,-121.7605364451143,-109.03430516534482,-120.67618914249579,-122.52066796273625,-122.21321671856225,-122.74379622187686,-121.8463733959739,-123.00977773671895,-107.12156318227207,-118.43912239357361,-122.29403831718454,-122.45687692813138,-122.92683462192738,-121.08452221339348,-122.36873986142655,-109.60810294659402,-117.76922263073372,-118.85984925624481,-120.96512622739534,-122.14092033383919,-118.816765894565,-120.6129652087854,-106.98877216448946,-118.54852149098889,-116.92651657720108,-121.4484708966065,-122.20821511752374,-117.92434454361312,-121.87503225033129,-107.31485638631595,-121.26279246311954,-120.29621316300684,-122.04812210338841,-122.51103852194741,-120.73042370601125,-122.67416409357214,-102.86288885596775,-118.444018041071,-118.6715421892637,-122.22577933458894,-122.91249116101234,-119.25406099246587,-122.09222765509624,-104.25012348784047,-115.18420524628625,-115.10904699424385,-120.57925228571088,-122.39273232355178,-115.76163357897606,-120.00374187188214,-94.40761846434287,-111.40235333330158,-114.64859757644747,-120.56408682842402,-121.50537815880256,-114.0372331309236,-120.55879178008117,-104.35070416969772,-118.18945470152293,-111.87534618635601,-120.15000857062223,-122.15776094610918,-115.24285574756128,-119.6384749853572,0.012682230313277804,-0.002307445087029121,0.010374785226248684,-0.006793906866667124,0.000341215934341804,-0.00645269093232532,2,1
-106.89868054751963,-117.85758064428312,-119.96904493824641,-122.12331446397242,-122.43374199878653,-119.29352352048123,-122.25240811654305,-102.43315296179566,-115.21590709622512,-119.7502796218582,-121.11253303178306,-121.34686966505318,-117.86925689530091,-120.81217572259759,-103.99674293582443,-115.78865629460866,-119.35733158311344,-121.37412055683556,-121.73420772284842,-117.90727644061647,-121.36944302284157,-107.18024243166482,-117.29032700136412,-120.71136626216654,-121.60202980141106,-121.49555747936408,-119.38988049196097,-121.03434411458947,-103.00568094072904,-112.30086031556202,-117.68775987064787,-124.12645781076095,-129.05178851291492,-115.69691895411592,-121.32800347692707,-108.73187090558191,-118.16971707202471,-120.14745721756645,-121.9644530214717,-122.17045639571676,-119.40864934985383,-121.65231932805847,-107.72461020892132,-116.38806120622081,-119.36397463452239,-121.37683086367085,-121.738910946264,-118.36049679606084,-120.96272947548633,-109.09227449348177,-119.09506460168545,-121.55107620784756,-121.59807545109297,-121.63652442822263,-120.5575048641519,-120.99495699935147,-111.98529711728916,-120.77298932930269,-123.33692649892129,-122.47076322955151,-121.94703730238399,-122.33778666280338,-122.90848721691042,-111.40559852416608,-119.48826185129121,-122.89661192532947,-122.82357696164745,-122.53800478031961,-121.7195678091594,-124.22276303933594,-109.04060673607135,-118.3488850473884,-119.72583959799205,-121.88235480215435,-122.2946198930763,-119.45055498132496,-122.82147360229281,-108.10842788379402,-120.01926122237258,-119.79480679808258,-122.02119748880857,-121.62949889320056,-119.93823651169058,-122.37617240725194,-112.14098156630874,-121.85893953489267,-121.95347983441954,-122.78842292006823,-122.39423127555776,-122.01550255391781,-123.86021613745025,-104.86305674434686,-120.49701289912373,-121.6307472913991,-122.9477237365395,-123.00688882472292,-121.77819830835084,-124.52626988810499,-108.3945553585957,-118.50981071716706,-118.36269514842044,-121.84487885582182,-122.20093068531436,-118.85154062783015,-122.72197876920083,-95.75160737470185,-112.27176459232531,-117.21553241560558,-122.24202360606427,-121.719067277012,-115.68319832387773,-122.27061045987371,-106.5241825770415,-119.70577152697496,-116.01883410405024,-121.79758928587701,-122.03527789861337,-117.73180675668416,-122.17658620441584,0.01034202325892836,-0.007564903603643181,0.002777119655285179,-0.008785390658995763,0.001167565503172896,-0.007617825155822867,2,1
-105.82920771197908,-118.13429327671686,-118.56405990174092,-121.68844438085968,-122.60706350300642,-118.47853794296947,-121.48290579033005,-103.64432881678034,-117.63449091609685,-117.4537424401447,-121.42218850363622,-122.32811961589427,-117.67612982647454,-120.76367624326173,-103.52322920217247,-116.69246632723063,-117.57333943187516,-121.5663424783122,-122.41284457651287,-117.27419247056838,-120.91784141501374,-101.72462387041975,-121.98669269896016,-118.51872147915901,-121.73163027311978,-122.32581525873034,-119.81347478010213,-121.46732475741562,-105.36129097038102,-114.71545274499665,-116.34545682256682,-122.7334418062235,-129.29786878400503,-115.77547894579568,-122.30022320188476,-107.15464127103347,-117.83302579845281,-118.51266757824644,-122.18610489164688,-122.9351299477295,-118.2803307193118,-121.3589654873879,-101.9490779539955,-116.51600120333251,-117.40457401895975,-121.3164098710113,-122.26790867960327,-117.05688850773747,-120.63246248849448,-106.87105889709807,-119.69770920342641,-118.95171963967263,-121.64856669403464,-122.47114038779168,-119.6326260539833,-122.12069115276805,-110.13914081783395,-121.89227613200728,-120.68605142114235,-122.25936977700867,-122.67798018942293,-121.19270299633247,-122.76563807518549,-111.36260192444388,-118.86103811159161,-120.69222176782458,-122.10771076343559,-122.16795503094325,-120.00103534866518,-122.39499895322659,-107.03041576238235,-119.43459136038113,-118.5808125357526,-121.03135740903747,-122.08871086442693,-119.03219973214689,-120.8464406212514,-105.85650456858617,-116.87458626045996,-118.68102747557339,-121.51540150312819,-121.52432237168964,-118.29277354144307,-121.54564755921209,-111.79480080441085,-121.78715635753235,-121.1274865944236,-122.2938956898855,-121.91654649343096,-121.26488128069019,-122.30629979861212,-107.0814160839505,-118.98304152464652,-120.62417690276948,-121.96638081348907,-122.6311467565174,-120.21124876153434,-122.03283185509461,-107.91191342218816,-118.15764397058234,-118.10225169745532,-121.36469486770775,-122.27593912930105,-118.26897767308361,-121.50958921619274,-97.21039467100915,-111.48340620466759,-117.74263391246613,-120.8692886241685,-120.92130539775039,-115.1321822576349,-120.23960363731774,-104.65188435497956,-117.59911361310486,-116.02807470982295,-121.00232612790967,-121.47028256435348,-116.75148419200767,-120.52425818296196,0.009227744457249505,-0.0015615002312445603,0.007666244226004945,-0.0022347620757758725,-0.002543305909124273,-0.004778067984900145,2,1
