mean_Delta,mean_Theta,mean_Alpha,mean_Beta,mean_Gamma,mean_Slow,mean_Low_beta,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp1_Slow,Fp1_Low_beta,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,Fp2_Slow,Fp2_Low_beta,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F7_Slow,F7_Low_beta,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,F3_Slow,F3_Low_beta,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F4_Slow,F4_Low_beta,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,F8_Slow,F8_Low_beta,T3_Delta,T3_Theta,T3_Alpha,T3_Beta,T3_Gamma,T3_Slow,T3_Low_beta,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C3_Slow,C3_Low_beta,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,C4_Slow,C4_Low_beta,T4_Delta,T4_Theta,T4_Alpha,T4_Beta,T4_Gamma,T4_Slow,T4_Low_beta,T5_Delta,T5_Theta,T5_Alpha,T5_Beta,T5_Gamma,T5_Slow,T5_Low_beta,P3_Delta,P3_Theta,P3_Alpha,P3_Beta,P3_Gamma,P3_Slow,P3_Low_beta,P4_Delta,P4_Theta,P4_Alpha,P4_Beta,P4_Gamma,P4_Slow,P4_Low_beta,T6_Delta,T6_Theta,T6_Alpha,T6_Beta,T6_Gamma,T6_Slow,T6_Low_beta,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O1_Slow,O1_Low_beta,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,O2_Slow,O2_Low_beta,alpha_frontal,alpha_temporal,alpha_asymmetry,beta_frontal,beta_temporal,beat_asymmetry,participant_id,label
-105.81760963324432,-113.85472530132684,-110.45926077356982,-120.29624263991404,-124.93698546367976,-112.68988389237343,-118.32244864510801,-96.02394981165449,-113.11498053104792,-109.92276136748394,-119.99296777582417,-124.12502764849032,-112.15535489193053,-119.2550514869063,-96.9944616923519,-113.49870907233391,-109.59725894987935,-119.6777859516138,-123.74854801866738,-112.24316588629566,-118.7014962827875,-97.40499350605833,-112.7444953619962,-108.85151152738332,-119.47027720337599,-123.82611155780207,-111.01030339102094,-118.64680580893697,-101.196779600702,-116.59026228003923,-110.57039677188547,-120.83407085097419,-125.55802584547884,-113.95156158066533,-120.31519227292041,-101.32011632974367,-112.98269988283018,-110.85959090119529,-120.49358620414785,-124.1694453623433,-112.85585026990806,-119.64086013169097,-102.86263731433448,-114.05825801250774,-110.37695920641187,-119.37409882034152,-122.7188798586046,-112.86627816439251,-119.61331674381569,-109.32620457694135,-113.35972741557919,-109.86151342020506,-120.14664615088331,-123.92228715526852,-111.70969345143673,-118.36614289489071,-111.23583883950623,-119.48962568553857,-112.90389337715285,-122.81536264497896,-125.96658158070366,-116.48186509478225,-121.63971717978004,-113.3976357566568,-116.4259177954312,-117.3375457530596,-123.03826765220708,-126.92024395277018,-117.35991997779222,-121.63539498845034,-103.51947070213481,-113.10239757767418,-111.7243862093042,-119.32158103327592,-123.6358996512938,-113.00973621597515,-117.60933129758995,-106.33097399054748,-111.24906400650555,-113.0536385572999,-118.6500195589408,-121.95648769991475,-112.46879070232713,-116.46890605174289,-113.65430915742505,-116.28397040524003,-113.89890732144987,-122.42768625419215,-127.53562799475142,-115.6981681260773,-119.76554264384852,-112.66138108708327,-114.97443443716544,-109.81663566295452,-121.84225459682321,-127.30170172975309,-113.19853507540097,-119.01215326406752,-106.39745641125589,-110.80098521910195,-107.36095094275694,-118.5456077115879,-125.65734927772154,-109.51556027574823,-114.41977974611856,-112.31646238263528,-111.45335909640255,-106.01611179495188,-119.49563212648002,-126.02762245465554,-109.35740435023585,-114.57528069071597,-108.43908297287811,-111.54671804183597,-105.1961106137432,-118.61403770297781,-125.92192763065712,-109.1559548239863,-113.49420683746601,0.001306029650043544,0.008407000590804103,0.009713030240847647,-0.0014108811687032184,-0.0034454053771939075,-0.004856286545897126,8,1
-106.77062120991904,-115.35944446426821,-111.97447471024354,-120.55375307620868,-125.65359613093423,-113.88681301154196,-118.00344339267028,-99.38513891200228,-112.88185974513755,-111.56581756330607,-120.66945116599412,-126.15532433630743,-112.79501468636354,-118.82807812219006,-98.62970076162833,-113.43307683112606,-112.17417234805269,-120.53338799047945,-125.85351458187944,-113.39785717291126,-118.39749076712067,-98.79840808303481,-112.02939874344345,-109.76630548247793,-120.09641166212708,-125.42963903100541,-111.35508004829526,-118.33290631688823,-104.95596213054532,-114.44234640482439,-111.73847481341232,-120.7645076340083,-127.07883881056165,-113.46252960059981,-118.67676958971396,-102.73236107921294,-114.17794177677831,-113.69074138548476,-120.40575265532006,-125.62028592192972,-114.05374401588226,-119.0012425777462,-105.30844185047948,-115.75856954373192,-113.21536304448018,-119.3840454270556,-123.02891684562952,-114.60549596917781,-117.65836474890094,-111.18746630461453,-113.77630832623072,-110.19207548579399,-120.88153609590341,-124.71379540741161,-112.1373220118005,-118.01271014880612,-111.36708194218203,-118.74940813673254,-114.04565789764622,-122.76987541154168,-127.01212377986471,-116.71358771731856,-121.75078907313969,-114.44590516298032,-120.71748489505718,-120.25995760501792,-122.2620792510915,-126.97348702053858,-120.15544980814808,-122.23440812338285,-107.30153958966878,-116.47389022678256,-113.0866466124127,-119.07760099826798,-122.33409538877378,-114.67811631751677,-116.88987220373537,-104.19011664615238,-112.24865244350217,-112.42963506132556,-118.75352828709524,-124.03377504323731,-112.56056825011433,-116.02417221431242,-113.100574247195,-119.66523353383074,-115.04937008307637,-123.08751324984624,-127.18390602860467,-117.67430112178323,-121.76386339260995,-112.21568133771493,-118.7989823837279,-112.03295194628382,-121.96629554152229,-127.53550545182505,-115.57266258640591,-118.10203725535682,-106.14601455669502,-112.97527682370549,-109.6295386534271,-119.49444801835305,-125.58204551131074,-111.57330639194532,-115.1799793815769,-108.65823964869409,-115.4053330976413,-107.25215234180911,-119.68718940699627,-125.69888139516556,-111.20808452545423,-114.683969943515,-109.90730710590432,-114.21734851603856,-105.46273503988994,-119.02642642373641,-126.22340354090228,-110.24588796095445,-112.51844042372927,0.008660219846348308,0.01296393628294574,0.021624156129294046,-0.0014875589480139307,-0.007517676215544488,-0.009005235163558419,8,1
-106.34691435571398,-114.9755884629651,-111.38697373701973,-120.1813356617473,-124.85265122779248,-113.41595733775755,-118.53905683246467,-99.02327412349263,-114.89729819450689,-110.73846310142568,-119.82159827699299,-123.63350523194701,-113.0895752656681,-119.15485869315437,-96.50098382078278,-113.73932625699369,-111.43336520847214,-119.76388648575315,-123.60787223690416,-112.87875621148545,-118.8439472843153,-97.05208800867278,-113.21963969694599,-110.0670190715932,-119.53060798154478,-122.5809753772887,-111.82288815893078,-118.76607725465578,-104.30062542083095,-116.02756561622311,-111.27756140079384,-120.3827076211327,-125.00462160560257,-113.92715169413708,-120.6960361432028,-106.78686623927109,-114.01678218078796,-112.4524269254261,-120.7779417204093,-125.31196765706734,-113.79563473565723,-119.1812876223931,-101.61756530182049,-114.20828858081696,-111.63588428534469,-120.18355978981971,-122.72421010352014,-113.18664034860495,-119.27064495326852,-108.01752855890524,-114.36301623862077,-109.65338783230192,-119.71302385219042,-123.65541776382086,-112.11308568138452,-117.69202659897326,-113.02412513628934,-118.87696415948047,-113.33199396338763,-121.90336907323717,-126.1455829880788,-116.42756458360986,-122.72434197079889,-116.15602933906042,-118.42978332495589,-115.73388219988367,-122.62640346086852,-126.95631482644119,-117.30445912132268,-121.50864201698006,-104.92230281950648,-114.27712374136361,-111.59721641902361,-119.31437645452195,-123.0426849859923,-113.05419448113088,-116.93759589281052,-103.68680524892869,-111.0220112631962,-112.13510662164707,-118.2638832712002,-123.39828369649892,-111.89135948234843,-115.8631617047833,-113.48744010544756,-117.82292548958371,-111.4418292513333,-122.37960060416901,-127.20177760455975,-114.69149064208393,-121.38167036986138,-109.82087458728401,-118.09056685488606,-113.6119879704212,-121.37539787637482,-126.92881213374017,-116.15025924358702,-118.78944898664963,-107.38138257562936,-113.61549711588638,-111.15580181238933,-119.0057912660785,-125.43816968893823,-112.55357622693218,-114.84592079036753,-110.39622851526894,-111.50289428163153,-106.40516697597224,-119.10884516832957,-126.07683159107431,-109.0603134038966,-115.74754438776503,-109.37650989023288,-115.49973241156249,-109.52048675289991,-118.75037768533393,-125.93539215320514,-112.70836812334112,-115.2217046494556,0.00525126530163308,0.00878564193439959,0.01403690723603267,0.001638883044790858,-0.0016677895385923856,-2.8906493801527646e-05,8,1
-108.16538547384442,-115.23582451222676,-112.07784790898067,-120.91512217463605,-125.27521767784962,-113.73448388314824,-118.29588715610404,-106.80016249700117,-115.84005037954547,-111.14264791769635,-121.10623391010434,-125.03153459094754,-113.66551325973,-119.09143123042281,-104.54354146856937,-114.50930464866649,-110.91397824721685,-121.76589831370653,-125.89136510664721,-113.09494796434882,-119.63790132773464,-103.79991038759178,-114.01956349963547,-110.24260495530866,-120.19961306493482,-123.5421638979195,-112.27115444461458,-117.48927297330839,-106.49392113261817,-116.06651311611893,-112.272507821324,-121.47295360587883,-125.90372579102609,-114.43270482692031,-119.57497234388275,-107.64536124743245,-114.34560505793633,-112.4030010932302,-120.77240438995186,-125.7233755071808,-113.89929918498122,-120.37398308068731,-107.66066360813252,-114.61737529386181,-112.14189208812435,-120.82049625416047,-123.41175300322024,-113.5863693653879,-118.77925473983228,-107.58306456694794,-113.5396079023664,-111.06853958106139,-120.10525765132292,-124.04039930391205,-112.6653967532819,-117.4233480022416,-111.76300661464258,-118.38948313316602,-115.36076601375521,-123.00134228340801,-126.4450922144313,-117.11146087829609,-120.6849158151685,-111.11098360527086,-118.19241390828795,-119.51701322820696,-122.19889122833261,-126.94888267580376,-118.58094867051308,-121.05925762544234,-107.46623556366202,-114.5915389607303,-113.86480882427703,-119.71324722655152,-122.78203516147595,-114.12453470162492,-116.62122925824443,-104.21774088260429,-110.4125599190903,-112.84040308519349,-118.40616601548028,-122.81404038864217,-111.84791321441064,-115.9891342158308,-111.61632344906377,-117.78583386113264,-115.88589434481946,-122.64028923004568,-127.13831221183558,-116.90300653650108,-120.88598249001936,-110.9878888457513,-119.16350999754461,-111.4969360866863,-122.19133276425497,-127.33279595600337,-115.02288768857915,-118.84157413605101,-107.07724653677134,-113.18363354604041,-109.28550257798686,-120.01516656836122,-125.75222212581387,-111.01836135694833,-114.78205810061895,-110.92653624307238,-114.38350305612238,-108.4121060683342,-120.4266723183477,-125.55446667695955,-111.0950026844501,-116.32930261413246,-110.9535809323789,-114.7326959153824,-106.3969646104693,-119.80598996933516,-126.09131823377513,-110.43224059978343,-115.17057654404715,0.0005808077281615565,0.012431545891437423,0.013012353619598979,-0.002891899443286862,-0.0016346129126733877,-0.00452651235596025,8,1
-97.05916351077018,-111.67281284845926,-111.83456157849743,-118.1077199128669,-122.32610324417684,-112.03180411137416,-115.59599517436979,-92.15602896976023,-110.06427223930939,-112.2941245911614,-118.17754086023042,-122.57854254776379,-111.71730681154428,-116.07517389059805,-90.36791831421868,-110.68404024627738,-112.77406110982099,-118.20705907391452,-122.39649755322125,-112.1133241794154,-115.97799271437009,-92.93209915094941,-108.78574144558338,-112.1414178408421,-117.31991447994064,-120.43574276198541,-111.12032383714275,-115.40515866122016,-94.62897506215074,-115.61942776419966,-114.62581842235917,-120.22585239755924,-123.42166457394833,-115.5820818079603,-118.29057945616532,-95.46968250151636,-114.33914485486595,-114.41691418330717,-119.12447340753728,-122.75373914113547,-114.92101560363517,-118.12894045080337,-93.35079599516841,-111.4430806343596,-115.52507931304253,-118.28112678192764,-121.56928112161958,-114.20154067622255,-117.00137122349766,-103.03419530262742,-115.65187378250035,-114.2905799599472,-115.55512029550698,-114.62569815543935,-114.99730396873434,-114.63484662247471,-111.55394395308835,-119.11623776764061,-117.94499404816753,-120.30574969999323,-121.27162952671348,-118.90792511384241,-119.32928197728097,-111.47782274967801,-116.65501080916533,-117.02338816796585,-121.28897795686996,-125.23910880166234,-117.01173733580397,-120.44528269446299,-93.52036333892008,-112.78049789480376,-114.54342919979811,-118.90710660000934,-121.88294853020936,-113.8867312586276,-116.45970710810356,-69.49130746527736,-84.33191607288622,-92.12335342093618,-104.67212228416075,-113.63913598283276,-89.38822130856815,-98.70725352604762,-102.63658487949397,-114.79482305020235,-114.5529041336053,-121.39681084988521,-124.71418090150479,-114.93835332417623,-118.5154197808953,-99.6387698684465,-110.62442640017527,-108.61198421617345,-118.3900139714223,-125.0356211049862,-109.74975713416954,-114.39906659684989,-100.27429350728139,-115.12565528407873,-112.18899484967173,-119.04909433897096,-125.45133661349188,-112.96653281292552,-115.87962573118665,-99.66376320511782,-111.87539472560711,-107.25441939924646,-119.49390860383774,-126.10647267708275,-109.39194219277097,-114.79095031016323,-102.75007190862834,-114.87346260369306,-109.04152239991362,-119.32864700410421,-126.09605191323261,-111.61476841644743,-115.49527204579687,-0.0009120753873106532,0.001104946073266615,0.0001928706859559619,-0.0046015353700366865,0.014296487536118604,0.009694952166081919,8,1
-96.97740561385595,-113.4314870580934,-110.78669641000457,-119.47671286041857,-123.76415049542837,-112.31305573473225,-117.55172749266195,-92.24609753740808,-112.351411317746,-109.83159164217076,-119.6646096586625,-124.44713925144035,-111.09472603513723,-117.0499049029185,-87.26787289243367,-110.8501560217915,-108.7529405502903,-117.95786542211766,-122.38863208025488,-109.98935768692377,-115.71306236524856,-87.91842140381169,-110.14108276779614,-109.25142589135697,-118.14791432167652,-122.38749484175267,-109.81907587213739,-116.01109666623893,-98.33973284723729,-114.18601027393534,-112.02182174604661,-121.73004086614313,-125.39237282965186,-113.27669843239943,-119.51890986718612,-94.86205990499508,-114.08589744651016,-110.79928717159477,-120.349344714435,-124.25888203054879,-112.52225656336857,-118.7146967762881,-92.52594830956205,-112.32479202639051,-109.55374889435738,-118.81929608937398,-121.6090588612003,-111.49697835870244,-117.98303487667434,-102.47978341104941,-114.13516782469918,-110.57631696489021,-116.66019594347348,-116.45650749968969,-112.08109390259213,-116.01252086591637,-113.51866332117939,-119.1763676082265,-115.31631594546872,-121.8734448499665,-122.9490387058266,-117.02156312853577,-121.58653385714541,-101.01532767241665,-118.05698020637762,-116.72051427728289,-120.86230233787346,-126.87671948695,-117.63158951188302,-118.96599959271248,-90.53003889583805,-111.82105755100822,-111.59846224920672,-117.50958957853653,-121.39113941557136,-112.25474829219704,-116.04023027135753,-101.664800883994,-111.08125021102252,-113.37234520010891,-118.15986635956828,-123.23049623308572,-113.2397447278275,-116.29515630333844,-106.34796577927857,-120.16825744052694,-113.84324486290876,-122.08250180385527,-126.32856576873839,-116.78880919795041,-121.4977719049295,-94.21641854924587,-111.73220505323559,-110.72951386776725,-120.81555420975535,-126.101009548257,-111.66149715083422,-118.2879805619567,-100.7458415989719,-113.55150417944613,-109.07000339715397,-119.04487352828434,-125.90313386860251,-111.5223892415426,-114.9705265565326,-95.6668032760076,-109.58849822289488,-105.18866368060974,-119.10805261689784,-125.33407910724547,-107.55258094992563,-115.64629707745297,-92.29271353826582,-111.65315477788704,-105.96094621885922,-118.84195346607704,-125.17213839803836,-109.05578270375894,-116.53391743669471,-0.005486619200444391,0.004600635985471268,-0.0008859832149731234,-0.005703485029907868,0.003627255468375599,-0.002076229561532269,8,1
-106.6222997731033,-115.6356263081063,-114.5615360148897,-121.23998439496536,-124.13150939046834,-115.18252275673814,-119.60407946741259,-105.35685213341873,-115.67501674421919,-115.45459268502066,-121.19259145847082,-124.76318671206897,-115.99775850885362,-119.88501060119553,-99.88894005183309,-115.4420706382253,-115.17830020509754,-121.17121773117402,-123.82535020427893,-115.89724213231267,-119.87581919069304,-103.5838908226842,-113.69138718124772,-114.11145813476787,-120.32204003181533,-122.72857324867417,-114.2225649581417,-119.40943220750106,-106.52468023806162,-116.95690306639733,-118.00302863500812,-121.42787697742709,-125.27627438168923,-118.0509577989536,-119.8200056082323,-104.62255290473459,-115.98830550315036,-115.55788736426032,-121.50257144225692,-124.31202729554664,-116.82044956704317,-121.73117831796922,-101.67429938086099,-114.49373708777652,-113.31815398620114,-120.61479457149755,-122.03382665971657,-114.29655277153662,-120.5932532274672,-108.60003305217874,-113.22316276467517,-113.6134692541431,-118.30678724901864,-118.27911485180637,-113.42769118733615,-117.83740492353535,-115.00300308388438,-118.59704181186406,-120.03793658012526,-122.63776918137967,-124.63850514407108,-119.57078109919411,-121.3822053157126,-111.32764924237395,-120.2737528378492,-118.68929127556584,-123.10307135132678,-126.39917616197006,-119.18670918177791,-122.96379317462231,-103.39750704970908,-115.54130315230857,-113.65767606897538,-119.79574600841987,-122.3397542061253,-114.39354452775723,-117.8608304586427,-106.92881600200377,-111.6362577861121,-112.40200440719644,-118.7472319677657,-122.97585640409208,-112.00369045081044,-115.74011451155945,-113.41122705393508,-118.22234156485318,-119.55735358902598,-124.16505366484205,-126.48882393047022,-118.8504844234287,-124.03641533295539,-106.06936585753951,-118.28612092886226,-114.57757336659465,-123.19334135564986,-126.32027338079678,-115.90780268410857,-120.60437032671283,-106.90942253882538,-113.53653261818714,-109.72123944549463,-121.09574239841507,-125.00156280002099,-111.23136253675035,-117.12934954899946,-106.71915872857326,-113.8637235997438,-110.4452813604421,-121.17575963552062,-125.31103170065032,-111.8128094568281,-117.69523088770094,-105.93939822903651,-114.742363644229,-108.65932988031608,-121.38815529446575,-125.41081316551575,-111.2499628229772,-117.10085784510224,-0.01046896592388538,0.0001945113391734298,-0.01027445458471195,0.0003074726338988643,0.006253435186224387,0.006560907820123252,8,1
-108.09806793890691,-117.1162817522988,-112.00835695497405,-120.71061371603813,-124.50456990213314,-114.59835865322276,-119.63859278039419,-104.34552502259814,-116.26667813923802,-110.89457762094719,-121.06987934596691,-124.57346342955105,-114.04941722495664,-121.80884593431183,-100.68360799813968,-115.49220558802618,-110.37177743522392,-120.35218568672228,-124.55603427649437,-113.3111474648018,-120.85360465437071,-98.63531407975105,-116.64179178574386,-111.89308889566016,-120.05940929349498,-122.59958112549288,-114.70023755201045,-119.88950962539263,-110.03485687280615,-118.50419495516053,-112.05269522620385,-121.8708819591737,-125.26464165715447,-115.15892280336544,-122.60403710490252,-104.98869285932375,-116.9429317586776,-111.441932651523,-120.80317762378375,-124.8123210952525,-114.16302305098783,-120.92830595494132,-105.545968880328,-117.6372587273648,-111.53639529298539,-119.5735750642372,-123.18261902246397,-114.67312272534907,-119.54678444507636,-106.62824869598929,-116.74258369734991,-113.73760063740286,-119.63684610618948,-119.90884058417318,-115.77328334087719,-119.4304489377228,-113.35364462111599,-120.38710635146344,-116.90748978252957,-123.10361953985111,-124.6714033609485,-118.76990675282634,-123.87700952130487,-115.32520360726355,-120.33525894814433,-116.35181379721361,-122.05720378734368,-126.84151425185237,-117.70793563289398,-119.51934589117435,-107.79267291838286,-117.69638453593801,-112.78256750429969,-119.18076869425127,-123.2107537969047,-114.9806985460447,-117.65403280856496,-109.7169513402293,-112.8217542841589,-113.73364039059166,-119.31138939399375,-122.67486543099866,-113.41269274096898,-116.74713442798789,-114.83889524465843,-120.93684477138724,-113.19877677578698,-122.63297337695242,-126.67906861056159,-117.08915000356936,-121.03289071769726,-106.61437195650299,-116.3487060392531,-113.8719227149595,-122.57244541380196,-127.12496858264348,-115.36391672980196,-119.9252980627784,-110.40474270189137,-116.04224972511166,-110.54668636310848,-120.18656167679933,-125.0326624594191,-113.05607091165409,-117.16975899911463,-108.67171540559582,-116.02318297877993,-106.09117358156978,-119.12104170949036,-125.42842491630707,-110.59720406619456,-115.77605236204334,-111.98867481793425,-115.04137575098353,-106.7215726095793,-119.83786078455772,-125.51195583391207,-110.76700890526187,-117.45442503892332,-0.0027327841410800897,-0.004216106410912332,-0.0069488905519924215,-0.004399746463321334,-0.0019097310402304904,-0.006309477503551824,8,1
-106.75316520001687,-114.57671366747017,-111.34979572973319,-120.41394943715001,-124.88639288210219,-113.34473624242818,-118.29983003320106,-100.96531141057729,-114.27254717484591,-112.0874897121269,-119.86456158915959,-124.78500263317986,-113.53843014135622,-118.47628831051338,-99.28812738748904,-113.75255176847752,-111.4633895437973,-120.0952847469893,-124.65277114984997,-113.04650924994735,-118.88919567781872,-101.03558344940146,-113.0985571357769,-111.51762601904221,-119.34540529354128,-123.17917591393832,-112.74650642382693,-117.95462382727217,-107.07185810628793,-115.12546776160349,-112.78014886624263,-120.25107962377542,-125.18609540925272,-114.27741191018029,-118.72124191588293,-109.35394699996414,-113.8135874022551,-112.91715988473447,-121.11070820024307,-125.46482706975463,-114.0051596029394,-120.96705024438934,-105.24254567853254,-114.25402460718158,-112.52589613955153,-119.6419119352262,-124.05088863591807,-114.16820213371527,-118.56694719150423,-97.10896098378964,-110.727553544726,-111.9267152831045,-118.97965060142121,-122.04895371271829,-111.64436212604639,-116.65185465303847,-111.82805100133176,-119.47047481449174,-114.80786874761117,-121.48648547124073,-125.60971852012175,-117.03670051761034,-120.48774758959016,-113.73846414065275,-117.50862477760006,-116.38248915279559,-123.0081659263756,-126.54553312640954,-117.327229847051,-122.92641500027389,-109.61289548138464,-114.04325564891714,-112.08879879856684,-119.02777777862404,-122.66365798306181,-113.98691716136256,-117.42840751297801,-107.1096381630524,-111.10879657448707,-111.54940443640562,-118.65534395742631,-122.66996096419399,-111.6972127537771,-116.04683910609427,-110.31974890037316,-118.7856247595115,-113.27928994717126,-123.23903794704917,-127.17551228588574,-116.10171912233028,-121.51907774765944,-110.88196946308446,-118.34870679285723,-110.45204796190922,-122.20357845928166,-127.17935442459492,-114.69192176869618,-120.09370862387374,-109.24141428272893,-114.41076955477531,-107.18754431158322,-119.46912020634386,-125.38319404559213,-110.97783534187778,-115.13566492770221,-106.45293139287179,-111.45833225382238,-105.89392561579058,-120.3596845981567,-125.93369869873843,-109.08485110796386,-114.92183015042532,-108.7991963587481,-113.0485441081936,-104.73693725529803,-119.88539465954612,-125.65394154042498,-109.18481067017014,-114.01038805220067,0.000607056500806655,0.0007235370109377776,0.0013305935117444326,0.0035615769348477564,0.00020220871898998406,0.0037637856538377404,8,1
-102.39854425351962,-114.68666924302352,-111.64378609545739,-120.55147003937316,-124.26578912074919,-113.70235671113277,-118.2949507706338,-89.90507440344852,-111.90631266556348,-109.04783330117868,-118.88586435843362,-122.71491461900487,-111.43103993583772,-116.83097070729137,-94.32862385773706,-113.14621809229111,-109.64151144093425,-119.92217236756844,-123.85049064291023,-112.52507385879638,-117.8616455505252,-89.77020934648355,-111.32256992625902,-109.4701283540917,-118.615608433038,-121.3006042798542,-111.14531585047526,-116.29480363778822,-100.1045907294689,-116.26178378575354,-110.28185341708301,-120.62251719756739,-125.33820933396987,-113.99845754577609,-118.74594955393198,-89.16947447767916,-111.91041688892197,-110.23923350351777,-119.78433761500045,-123.24996809986621,-112.35763826220202,-117.73154951672109,-94.30254569510723,-112.37395513207821,-111.21420527332499,-119.13293319932288,-122.10529981307776,-112.78286069215244,-117.66135338840854,-105.1997653161294,-116.7298630143401,-114.03860243378034,-120.2913208256035,-121.62768266289504,-115.77440550810755,-117.87602246664613,-113.37802844781233,-119.81412342449129,-117.59342131425491,-123.13274523403304,-125.94676564393497,-119.15574853668828,-122.7682437737367,-116.32396654971669,-118.44344433047877,-116.27584028313053,-122.27288940034883,-126.45583177691057,-117.04008778565708,-120.97356262113604,-99.28361714565128,-112.50031118318789,-113.28030570545795,-119.92058270190194,-122.10153625308195,-113.43200135043686,-118.50197278673417,-106.90949958069527,-113.13893615390037,-113.53204321472813,-119.27220780397757,-122.38081408856468,-113.91461976941576,-119.2774275557464,-114.35669306320918,-120.61824888225334,-114.08458355919565,-123.44800288921846,-126.93471863510239,-117.8592814285317,-122.30267526094077,-112.53319564735293,-117.82163547024432,-112.44574689314135,-122.49695410502537,-126.8194578263433,-115.17401080395848,-119.03780614363708,-102.00806955550225,-112.92267998357427,-109.50963518293219,-119.84683975472626,-125.54543815122861,-111.05591119336854,-115.56314858226585,-103.04113589079496,-112.70028520226488,-107.95509922075682,-120.67760413316789,-126.24919876148883,-110.79915360668627,-115.80192635054101,-107.762218349525,-113.37592375277366,-107.69053442980999,-120.50094061103682,-125.63169534375373,-110.79210125003385,-115.49015443409016,-0.00019326910709719186,-0.0033358277783822423,-0.0035290968854794344,-0.0034865045059568715,-0.0015433794839360224,-0.005029883989892894,8,1
