mean_Delta,mean_Theta,mean_Alpha,mean_Beta,mean_Gamma,mean_Slow,mean_Low_beta,mean_Relative_gamma,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp1_Slow,Fp1_Low_beta,Fp1_Relative_gamma,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,Fp2_Slow,Fp2_Low_beta,Fp2_Relative_gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,F3_Slow,F3_Low_beta,F3_Relative_gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F4_Slow,F4_Low_beta,F4_Relative_gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F7_Slow,F7_Low_beta,F7_Relative_gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,F8_Slow,F8_Low_beta,F8_Relative_gamma,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C3_Slow,C3_Low_beta,C3_Relative_gamma,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,C4_Slow,C4_Low_beta,C4_Relative_gamma,T3_Delta,T3_Theta,T3_Alpha,T3_Beta,T3_Gamma,T3_Slow,T3_Low_beta,T3_Relative_gamma,T4_Delta,T4_Theta,T4_Alpha,T4_Beta,T4_Gamma,T4_Slow,T4_Low_beta,T4_Relative_gamma,T5_Delta,T5_Theta,T5_Alpha,T5_Beta,T5_Gamma,T5_Slow,T5_Low_beta,T5_Relative_gamma,T6_Delta,T6_Theta,T6_Alpha,T6_Beta,T6_Gamma,T6_Slow,T6_Low_beta,T6_Relative_gamma,P3_Delta,P3_Theta,P3_Alpha,P3_Beta,P3_Gamma,P3_Slow,P3_Low_beta,P3_Relative_gamma,P4_Delta,P4_Theta,P4_Alpha,P4_Beta,P4_Gamma,P4_Slow,P4_Low_beta,P4_Relative_gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O1_Slow,O1_Low_beta,O1_Relative_gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,O2_Slow,O2_Low_beta,O2_Relative_gamma,alpha_frontal,alpha_temporal,alpha_asymmetry,beta_frontal,beta_temporal,beat_asymmetry,participant_id,label
-103.25335826248006,-112.46898740745239,-110.19107532042004,-119.41605331094729,-123.39617144522715,-112.00377154759279,-118.22559019307616,0.9076762288148364,-94.72437602242977,-106.25242190757037,-109.0127191514809,-116.42950019907681,-118.55719979222252,-108.87144227234053,-116.96682273184804,0.9183030846135303,-96.01914713968048,-107.15706912307262,-108.8869309700705,-117.52504065578471,-119.22866675350906,-109.10203968555612,-117.72817153996827,0.9150655010771149,-109.54937933981789,-114.57546218013864,-111.56561704844982,-120.47618568477347,-124.65864552610398,-113.58384238479977,-119.45261857927582,0.9111589645903452,-109.00569287493235,-113.62135660016685,-111.3207017922057,-121.98471095143599,-125.80043449379176,-112.82613213362386,-121.06527185793581,0.8968659972250876,-106.60849002225439,-114.23218152222461,-110.36455087582172,-117.69776132107343,-120.283144251406,-112.7238234155152,-117.22900881060139,0.9371539471890514,-101.79218351812452,-111.42255853570983,-112.86825472412815,-121.21686502296525,-126.66849952174887,-112.93230255498261,-118.65109771036401,0.8915579088831966,-92.90209384102826,-109.18218926206072,-112.60429568183852,-116.52307676987574,-120.70062209450475,-111.63599741625893,-114.93978669013664,0.9248999340604185,-115.69646969596423,-118.44288437475224,-113.13464860110128,-123.3629054845361,-126.14234958784547,-115.86730086833943,-123.5771433159108,0.9185440198864339,-101.73686015023404,-114.0656390784311,-112.6032647183515,-118.31019305139348,-121.09117029901083,-113.96412361056247,-118.06311153845382,0.9411431347896835,-104.25023809142627,-113.77832019094738,-113.09751904230887,-120.3812557734895,-123.16294688088391,-114.14096225908685,-118.89833937186881,0.9267475742479384,-105.07967750701162,-114.23473660177352,-107.6394584665533,-120.30627738495033,-127.58553084595786,-111.59381243373129,-116.85640823174373,0.8746588401820078,-106.54762414659692,-113.37073268906897,-107.45455099258635,-120.50854867873616,-125.58628931376228,-111.27048985845903,-118.71949704382043,0.886008261462866,-88.75773472531384,-107.82614499982094,-111.86660762381577,-116.34152705595528,-120.61861309438294,-110.79607803024341,-115.02449306957902,0.9185653456614239,-108.24976483202931,-115.46757294513826,-109.29254428216237,-123.40845927820435,-130.0272318196265,-113.01756593187889,-121.15917846680523,0.869183819037666,-105.27091435431726,-114.1824257868659,-105.48775115597275,-116.78192933965958,-119.34359562342661,-110.05576776603397,-116.47985040010848,0.9221757329425603,-105.8630859385197,-111.69210272149633,-105.85778999987309,-119.40261632324666,-124.883803225451,-109.67866414007233,-116.79864373079837,0.8782457076685193,-0.0010988348567918173,0.002189865341723844,0.0010910304849320268,0.006221726008569216,0.008676736147407863,0.01489846215597708,23,1
-105.84622637657408,-113.9455935455249,-108.72835774979991,-119.66469744026942,-124.65404733744698,-111.83765698397592,-118.9049800059216,0.8971843223126464,-103.77049625122801,-112.65009257465874,-109.28614547122993,-117.5519658926467,-120.98093644614245,-111.26158413253067,-117.67887633005512,0.9196621170316484,-104.19132029214046,-113.67541197543716,-109.4024856405307,-117.69837715317443,-120.94510161236119,-111.74329306536423,-117.93260902968612,0.923917476406035,-107.5502718492458,-114.88117387349284,-111.45532927780367,-120.49465734307093,-125.2963057160207,-113.93130573765673,-120.42211686523144,0.9092950114257773,-106.16800814037987,-115.01860567891782,-111.38401019676219,-121.45920685771995,-127.48148954879304,-113.52701949274478,-120.49097539646525,0.8905372842328828,-105.8727131698743,-113.30162649706928,-109.29139233444506,-118.0834395906487,-121.44382018512698,-111.89817940983613,-117.92967662340399,0.9213987112663318,-100.48593750910561,-114.25544016226304,-110.96200173922945,-121.96084519900872,-127.93830063150989,-112.89159198550885,-120.80329776949165,0.8823908980209232,-102.48581499907503,-109.5308625504519,-109.872867434852,-116.75117244257267,-121.49435553128973,-110.46641741064734,-116.12928401238982,0.9092308603768654,-109.81664070369587,-117.41452709648645,-114.48959874005263,-122.97540865073937,-127.27393647936009,-116.35822898278919,-121.28934119149918,0.9142345416624943,-105.14580185923974,-115.21672930927964,-109.83108590726296,-120.34365794002703,-125.49663063103979,-113.07491124859169,-119.47281546596693,0.9010194989300712,-107.21202863002618,-116.24187186457448,-110.66889784570512,-119.9929878319666,-123.16012721352223,-113.48678811577186,-119.05330787603474,0.921457217391634,-106.08407482621,-113.67760684563775,-104.60366926177397,-120.61321865856029,-128.46824171015743,-109.60707189291449,-117.88500957917377,0.8531841833735343,-106.89589001671374,-115.85148645902461,-104.6841039793391,-120.14415101559453,-126.49255277518554,-110.48632863915175,-119.20066609020955,0.8734611343919862,-101.6923707286011,-108.24773290208525,-109.17699075482825,-116.42485585609705,-121.36068416867057,-109.62469953141374,-115.66891550169976,0.9032966506603916,-109.61654094806977,-117.50742623284451,-107.8191563238189,-123.25734449875966,-130.19551158228157,-113.17095719086996,-121.79229521670123,0.8692385460565408,-108.34186692255822,-112.9073499494617,-103.03352533441442,-117.12440590299337,-121.46230698119864,-108.8781801225041,-117.36675408255182,0.896394797929843,-108.20984517902158,-112.7515527567132,-103.69246375475018,-119.75946421073104,-124.9744561864918,-108.99595478531904,-119.3637390641854,0.8721458617325046,-0.00032004708508669865,0.0037996009078203868,0.0034795538227336883,0.003986501797915361,-0.0014590788139446141,0.0025274229839707474,23,1
-106.41365052659398,-113.03374215763067,-106.86274605006983,-118.7706423391011,-123.27956578596627,-110.6644813012198,-117.33963241088735,0.8976709205266966,-100.9798996104061,-112.27819222819208,-104.9667983490053,-117.15244025853646,-119.55948238905695,-109.30655468824301,-117.66536862439172,0.9142441277267325,-102.00544981039018,-114.40504823510825,-105.34842078180421,-117.0415946837174,-119.2280277100493,-110.28476646297032,-117.60493718948217,0.9249902777153364,-109.91436035359197,-116.15809737012076,-106.78815225126608,-119.69058038856534,-124.22531179551001,-112.06479261015339,-119.52109928997018,0.9021091675312168,-109.56220090119865,-114.3739867365873,-108.23056856529453,-120.4297653918759,-126.46238635943396,-112.31353380376962,-120.59448470783897,0.8881180961155501,-109.31210304549995,-113.86683656040093,-105.1407773891859,-117.46991061274797,-119.94697336708757,-109.97961448241892,-116.57331251739859,0.9169019558820848,-102.31311809479863,-114.62007093308648,-108.81767425999854,-120.24185612121465,-126.42323586565303,-112.0764915614525,-118.19044761486529,0.8865181372240268,-102.3418397724459,-108.14856140759541,-110.60280810063034,-116.52961274300081,-119.89875696262371,-110.49878212167017,-115.02912205974089,0.9216007314914548,-110.45903153568365,-116.81406783267079,-112.58021300814063,-120.86717959266998,-125.9465487587403,-115.4901398374898,-120.1615117027035,0.9169774080806254,-107.15975346339272,-114.85413268880302,-107.66663135864371,-118.36863610402807,-122.9692675957749,-111.96686280875188,-117.46009330352815,0.9105271991763815,-106.47878202224122,-113.61166082744148,-108.50719398990282,-119.01344063819317,-122.61861731209645,-111.83049724289056,-118.16458298421601,0.9120189062175827,-107.99730401120914,-113.08722545093427,-104.42937346400038,-119.31582892734305,-126.90357036615919,-109.22103917051287,-115.47901939180574,0.8606616729172685,-108.55869276505241,-110.95268693023807,-103.46261741696662,-119.0791576252013,-125.67880838272052,-108.23168134612273,-115.6580482062312,0.8611768582061399,-99.65970848992234,-108.53834732849356,-110.5113343267609,-116.35749955105945,-119.82224804993666,-110.46923320244525,-114.7947518831121,0.921942585790967,-109.30348581881798,-114.84443021550335,-106.6200748737214,-122.3317995768183,-128.82484288261844,-111.37867131835614,-119.64484826728244,0.8645744782304237,-108.79906743812197,-112.01660369500321,-102.90171839272362,-117.28649873175539,-119.62898169224484,-107.91443872234187,-114.46271308020496,0.9020760454181616,-107.77361129273092,-109.96992608191171,-103.22958027307219,-119.15447647889033,-124.33599308575438,-107.60460143992778,-116.42977775142552,0.8654340450372485,0.006708328970383099,0.003888364513621517,0.010596693484004615,0.003078393881651558,0.0027163151616763056,0.005794709043327864,23,1
-106.5071881734316,-112.98679300329327,-106.6683110518665,-118.83540336043052,-124.43762732462518,-110.30276743894296,-118.05308065300154,0.8864100819858284,-104.9370683410475,-112.17737114861775,-107.03877661289482,-117.20123534004102,-120.32841739027548,-110.35825097393008,-118.50325113710772,0.9171420464709682,-107.58264302405567,-112.55815073016915,-107.30174764698096,-116.81897769963956,-120.52563936415848,-110.54268968879956,-117.38688359995659,0.9171715684063185,-109.25147367931473,-115.54381717719689,-108.49780435791618,-120.88651310424177,-124.5808004304781,-112.47373624853536,-122.38468021395387,0.9028175759016811,-109.74492126224378,-115.03387444062203,-109.32762514834397,-120.51203931889302,-126.854389652223,-112.78933014338048,-120.41942538318213,0.8891243767960848,-104.88263965212141,-112.73174272728045,-107.20855807973038,-118.0309322812819,-120.76861307267144,-110.37836787932571,-118.36989674567424,0.9139656825644467,-102.21845127083952,-113.46377668452351,-109.0445679664586,-120.78640654231386,-127.9687286004045,-111.73089599174425,-118.82128221059148,0.8731109327547939,-101.1248525330218,-110.24487246983783,-109.86184611790662,-116.2994068834007,-121.8300389651839,-110.44000775289955,-112.97823492553852,0.9065088437217085,-111.62308793663009,-118.58777533121919,-110.22657334250168,-121.7222656699422,-126.24517693314804,-114.47686302259272,-120.54938568612718,0.9067820712328114,-109.22100953967248,-114.26982179609995,-108.2115769532309,-120.12242857633005,-124.82438626947454,-111.58579881509975,-120.6261124428948,0.8939422988566117,-106.8771536435954,-113.80511038444928,-107.83360904396235,-118.71100278973121,-123.20283485036438,-111.0419711043544,-117.7450964557458,0.9012939616139521,-106.10715088632985,-110.77428106666252,-102.16096542718427,-118.32794486027005,-128.61011010075052,-107.2268932669287,-116.97405357075553,0.8337361128369252,-106.2026397343441,-111.62450607913064,-102.04530882536044,-118.68704789261675,-126.97095835970686,-107.14205543641997,-118.10788213689449,0.843831194318374,-99.83903537888511,-109.11281468961859,-109.34196644329118,-115.91604182959476,-121.06236501162333,-109.69699638037301,-112.7832475648048,0.9061197207723547,-110.34378510915649,-115.23552593129908,-105.31120854074082,-122.38551203718659,-129.82916399407625,-110.73222023059114,-120.64401719238481,0.8529071344528071,-106.67577443639645,-110.88534822764427,-101.39131770778602,-116.79523601785992,-122.33272889763056,-106.92944318714036,-115.73791900558848,0.8740869606253954,-107.48332434725131,-111.73989916832141,-101.88952461557474,-118.16346292354491,-125.0676853018334,-107.29875890097223,-116.81792217682433,0.8579255196258063,0.003809568021092507,-0.0017494854491849625,0.0020600825719075443,-0.0015512677337532648,-0.005909665906175174,-0.007460933639928439,23,1
-106.14668067096213,-114.11999319967913,-108.40474158853398,-119.0172725306846,-124.56228655960807,-111.70759842605834,-116.73576207184075,0.8968011226463939,-105.60640356047237,-116.03207536499751,-109.98069264406536,-117.085315446138,-120.96290530682862,-113.325638984095,-116.61111410559822,0.9368627406611861,-106.44883135610553,-115.42624932795911,-109.73458707850216,-117.27152290627724,-120.45217383633953,-112.84923413185199,-116.1656438771142,0.9368800125200083,-109.97477540477983,-117.04295183190978,-111.43574874166015,-119.06674451666457,-124.67057608979121,-114.56291316657085,-118.9854224048823,0.9189250323513342,-108.49118786059324,-115.80876721839502,-112.09437823526376,-120.33352033721692,-127.11634659557828,-114.3494374158704,-117.9877050886127,0.8995651659158683,-94.84026213685604,-110.83005858711824,-109.54487914670429,-117.39405126604821,-122.01053465737776,-111.10133812305929,-115.94224902727808,0.910588076964395,-102.10999515096579,-114.9858928986996,-111.6145460879946,-121.04778757881444,-127.30550739988318,-113.58312026544473,-118.24999002657532,0.8922090063917294,-102.10484619234596,-110.61198776203292,-110.5935883397104,-117.44013172020409,-121.15462526691354,-110.95268044647872,-113.86733529889872,0.9157940128331122,-111.39254767323803,-117.37669292789155,-112.41247919271026,-121.69851349698241,-126.6302660399725,-115.37877281533731,-119.31357663513552,0.9111468878926345,-108.57518248153556,-115.24585492733037,-109.08755787441747,-119.666354879364,-125.02948017457175,-112.1892708599374,-118.12115501651367,0.8973025457939497,-108.52569574954046,-116.42979251918557,-110.46664752113672,-121.18098132472981,-126.49128520495552,-113.60265730056804,-118.28307561520255,0.8981065937981114,-105.25635472654093,-111.60140842525857,-103.34932042798982,-119.23671637469249,-127.34943783838396,-108.19334215564442,-116.85738896592795,0.8495784825760277,-108.46475306480244,-112.45935566460965,-102.81405330845726,-118.39590841758343,-125.32370267733447,-108.47532076980296,-114.32042467528385,0.8655610906189845,-98.90069391027178,-109.58637070534257,-110.3131755300083,-117.01057357555254,-120.98920198028051,-110.45596798033924,-113.5058266963581,0.9129407101828968,-110.66340073229642,-116.74258256867836,-105.99172876984082,-121.69575459801766,-130.60743390633291,-111.72277757658738,-118.66151156426253,0.8554090240890196,-107.15711770049066,-112.16760506673585,-102.67576191695657,-117.14752702026492,-121.25382451293139,-108.12719325656734,-115.65148582014585,0.8917425383562716,-109.83484303455882,-113.57224539872136,-102.36672060112568,-118.60495703240258,-125.64928346625395,-108.45190956877838,-115.24828833166254,0.8631319381769946,0.0029464909384299956,0.006281317382350521,0.009227808320780517,0.00529145538466941,0.006288740698723474,0.011580196083392884,23,1
-108.04135708992642,-114.04455579813981,-109.4359754328262,-119.3308406696263,-124.48569671555349,-112.29232631357874,-117.88407087851083,0.9020500288492077,-103.41461058526103,-112.22720152657372,-110.35788986522644,-117.14181848263674,-119.73109854344565,-112.2198381890899,-117.30617353467828,0.937265585585267,-106.06333249766583,-114.81859506860617,-110.62606530911673,-117.06956188356806,-119.4888152231938,-113.17184896686845,-116.76469307730444,0.9471334095620092,-109.04294719768228,-114.43599695220388,-110.77911513296607,-119.26818260421709,-123.74488311225605,-113.39607394988988,-117.9708528578157,0.9163698013033947,-111.96664262449437,-113.88840723901195,-111.50369967454635,-120.74972335542601,-126.44536225802909,-113.46305883306871,-120.77055877351374,0.8973287498005011,-107.83554664739286,-114.24538959140602,-111.30135569623486,-117.176812531575,-120.7380705496912,-113.25217399184113,-115.91136087957541,0.9379988720726727,-104.38327791304546,-113.5596923555649,-112.21630203449988,-121.07425715336552,-126.70628079560659,-113.50562642538772,-118.93524744393444,0.895816890154694,-101.70867617745333,-109.32745333019041,-110.1153696841852,-117.17531742656854,-120.08757491194208,-110.04096356752814,-114.61802463580743,0.9163392936215013,-112.77996098432295,-116.39987135403135,-111.48673492227253,-122.22816564824151,-126.58673167334722,-114.29019083169811,-121.46982013204939,0.902860744731289,-110.8998945141796,-115.78230187763221,-111.85460378361529,-120.57525055867919,-126.77985275534232,-114.24642825447421,-118.51324214033049,0.901140250375153,-110.6598811184117,-116.61871008521591,-111.91303047948118,-122.02338490725775,-127.99514298389772,-114.71649333700543,-120.49291462721118,0.8962566130453654,-107.65841700000709,-113.73713584116916,-106.62264491779459,-120.3159039126179,-128.5019849119137,-110.79561915798628,-116.78279999753052,0.8622093988192877,-109.88494355204728,-115.75606504256712,-105.10956000648265,-119.05996055527834,-126.36238147263515,-110.65997634635632,-118.12496962958346,0.8757351282614175,-100.72712465360891,-109.27761894198507,-109.83932133015759,-116.77493127957985,-120.0033943028249,-109.71539391551813,-114.39679726931207,0.9142690884114052,-113.35900127578617,-117.14236088953726,-107.79407384514022,-122.80312860891699,-131.4214869335275,-113.31016392470764,-120.89110829359154,0.8621890268371374,-108.9117287495781,-113.65195611754257,-104.95551656655852,-117.19730848782291,-121.64166293964169,-109.84211192156316,-115.89860311640794,0.9029974538909958,-109.36572794788587,-113.84413655699939,-104.50032367694087,-118.65974331826938,-125.53642408156117,-110.05125940427659,-117.2979676475274,0.8766480343009942,0.0032597416143382227,0.0002611043194798873,0.00352084593381811,0.006172625935075166,0.00596926007352541,0.012141886008600576,23,1
-105.85810649183775,-114.07773810831151,-106.96506424057762,-119.92334149992337,-124.69325661718729,-111.05178605078373,-119.38838059115218,0.8905997731033415,-101.54287251105714,-112.53383527682804,-106.10796069498271,-118.44156095588923,-120.1777075779754,-110.16211592864863,-120.54202543996054,0.9166601539405442,-102.42606672869438,-113.2695693367466,-106.29212294001807,-118.02626157639973,-119.98762418008904,-110.40673271639359,-119.7312188050498,0.9201510028291291,-109.39341449612698,-116.77567411751215,-108.00347995754309,-120.40914683367652,-125.24154524581185,-113.04439239964316,-120.84230883611434,0.9026109680918635,-107.74445847156507,-117.1605555310776,-108.20620836757577,-121.01467487632301,-126.58957557457983,-113.09710949403471,-119.64602499453285,0.8934156622351888,-96.10758763325626,-111.0415818255726,-105.70455586726821,-118.93216340405273,-122.04962869704977,-109.33403363714838,-119.23090503578261,0.895816192186345,-102.82904460145801,-112.51091435327014,-108.65888689289045,-121.08126829023401,-126.02010919764108,-111.23885688211584,-118.15937104456388,0.8827071932437119,-102.79134431342108,-109.97252086360407,-109.7525171634871,-118.18396174318295,-120.43277834753081,-110.11817698791029,-115.8660586272593,0.9143538702573493,-112.88142106448905,-120.85705173235719,-111.10366061189535,-122.748022264417,-127.39161344570029,-116.04364058764021,-123.77980643000814,0.9109205657176399,-108.6185561648642,-115.4594629774504,-107.63312807632701,-121.49946355677075,-126.64228747526333,-111.65209553005353,-119.76202873007654,0.8816335977179993,-110.10652547330665,-115.99557095582061,-109.19144612509072,-122.32606338289206,-128.60543033995071,-113.01760406323677,-120.93421652763719,0.8787934052589407,-105.6287894831428,-113.02365007857577,-103.86613411960963,-119.9535069252511,-127.71378706383092,-108.80389598198988,-117.76081933525722,0.8519353977625772,-107.69792552354971,-113.89112574216006,-104.70563306617865,-119.77759878620549,-126.04392834825411,-110.05694247070504,-120.1767376410129,0.8731633797276002,-102.65901522135704,-110.11063088865546,-109.3251094083248,-117.90634155846762,-120.54714045607369,-109.85023284088163,-115.67135823063595,0.9112636967187959,-109.33218364812564,-117.79133325099208,-106.72687812127484,-121.85185440996574,-131.37930514699653,-112.68867358062977,-121.71480124938276,0.8577353446537539,-106.89843206284817,-112.24740002712656,-102.87009462086495,-117.92763971034381,-121.23252749327902,-108.39689789286007,-117.7938996515212,0.8941238802339533,-107.07206647214191,-112.6029327752348,-103.2932118159104,-118.69393572470244,-125.03711728497025,-108.91717581864788,-118.6025088796395,0.8710787499236434,0.0009376472053732852,0.007186999234303213,0.008124646439676498,0.0025081536625406555,0.0033901283286300894,0.0058982819911707444,23,1
-106.4507437720365,-114.01201780225934,-107.583968843777,-118.91150781574642,-124.7528919049609,-111.19492121259135,-118.45064068727234,0.8913213915497986,-103.01606312561233,-113.17907689622855,-106.26228241946232,-117.2700587916728,-120.44118558401823,-110.023832941474,-117.0334788228692,0.9135067245308938,-103.34006824011601,-114.36687167787665,-107.02261701081488,-116.95620437685548,-119.86909220519617,-110.97670267804489,-117.20720077282137,0.9258158265524447,-108.69186887757304,-113.98791244996778,-108.2711100000477,-120.15725526102882,-125.339843955838,-111.8352792044797,-121.21939719923486,0.8922564100517273,-108.66558702113855,-116.4925929292966,-109.42036441013623,-119.61896168837701,-126.2601789899011,-113.06476024795849,-118.55182777986816,0.8954902579141912,-107.16905347528588,-114.8624396160153,-107.39705608421349,-118.197428114402,-122.13562243198841,-111.42309473750281,-117.95739397258075,0.9122898996936712,-104.25491931286226,-114.96263841830329,-109.85445940872182,-121.00003626454212,-126.91694976397626,-112.82980388788161,-121.58838663860175,0.8890050075873073,-103.3511203319876,-110.60211123072783,-111.66341858581781,-116.62842128940434,-120.36072276432527,-111.30895196540455,-117.45720506005406,0.9247946457031109,-111.24379001104487,-118.74159221409049,-110.123946413664,-121.47480745676106,-125.85185393285441,-114.6219526286876,-122.34121776368576,0.910768884579497,-108.5057043478976,-114.30473563901926,-109.82198282085514,-120.59027279351965,-127.602567375846,-112.66149545765913,-118.755444736432,0.8829093158119711,-107.49913047556879,-116.382413830033,-109.34618832772998,-120.39089705101576,-128.78133320830335,-113.14252035602574,-119.14111370695687,0.8785630458804004,-105.44964783412642,-112.86161492172374,-105.55772916807304,-119.44561538623114,-128.73258410203854,-109.70108463819625,-117.44079669853238,0.8521625305932088,-107.54575501713985,-112.70451789496296,-103.1702537692153,-118.56765315004529,-125.64950636836332,-108.48802415817207,-115.83803354711776,0.8634178302310286,-100.3404099516766,-109.35110304998933,-111.31819531210057,-116.39509093188703,-120.46600746524587,-110.57847485638945,-117.06627356917762,0.9179226338043207,-110.7382903791711,-115.5471089368068,-105.63721305589974,-120.94519451360505,-130.92650492263758,-111.05183769236154,-119.54413325127614,0.8481998183483195,-105.99563919500929,-113.26967408120555,-103.54371906131563,-117.15212578322766,-121.23444857182818,-108.95076884696525,-117.21555558277937,0.8986783057986594,-107.40485275637386,-112.57588104990236,-102.93296565236449,-117.79410219936763,-125.47786883701404,-108.46015510425873,-116.85279189436923,0.8643767710554601,0.005279280749061651,-0.0021709105415795038,0.0031083702074821474,-0.0022449831743128756,-0.0008273498822854623,-0.003072333056598338,23,1
-107.6970829256561,-115.47347484823199,-109.2240653699206,-120.01046985915559,-124.79596509960132,-112.85525258356938,-118.47624033867679,0.9043181203294361,-102.54548859031955,-113.29709946004341,-109.78856627166326,-118.80806207800936,-120.94679102812805,-112.06532595650957,-116.20035364287808,0.9265671706035346,-102.09280888101794,-114.39536545628546,-109.49839421071576,-118.83631255272675,-120.38719048610301,-112.4537075488437,-117.1780307348764,0.9341002734159236,-111.34975358303684,-115.36644136276989,-111.42751501502855,-120.49469739433634,-125.57910713847124,-113.97751248899651,-119.20685252419003,0.907615248158421,-106.9003468796245,-115.55006280421243,-111.75230983460926,-121.72670481520333,-125.98923048677241,-114.22040115537288,-121.48364920665287,0.9065886085189231,-110.4573382705371,-116.75101252961021,-110.74994035672864,-119.05724290657383,-122.42483327879215,-113.8835509530559,-117.16525449605373,0.9302324365328266,-101.95415787995826,-114.39885476686105,-112.76905060234029,-121.84443046527298,-126.98843822207049,-114.12759785245996,-119.9123474526083,0.8987243204997908,-105.21179306900059,-108.88251759166651,-113.02340236687365,-117.41098714806849,-120.72590727502819,-111.68603788124035,-113.9009428918498,0.925120716854967,-110.45359700752229,-118.82722911131951,-113.07916051635577,-122.25428457273678,-126.36614101690398,-116.22136278266424,-122.37042477063345,0.9197191735649926,-111.92719820585957,-118.81480153829068,-111.73180131650476,-120.94269774339337,-127.34746310446923,-115.35658374915667,-117.98660657897935,0.9058412388986825,-108.4837210352093,-116.74598934670348,-110.73783158725631,-122.21153260643281,-128.3571838287802,-114.6190968639127,-121.58750915265877,0.8929698630409875,-108.91556386182549,-116.94624111528184,-104.41657414633738,-120.6186291776737,-128.44107039266984,-110.96738218834811,-117.91198762707496,0.8639556011881464,-109.05127487010846,-116.89299094785498,-103.44012047975846,-119.65202490280943,-126.43073068640192,-110.7365220626778,-119.67489087125959,0.8758671365852346,-101.35613388270369,-108.08688790436617,-112.19363115838338,-117.45347079639751,-120.54886990035905,-110.94521617580666,-113.65605702245668,0.9203339381572769,-111.72022529881552,-119.51934145500638,-107.13309845190999,-122.43206567415075,-130.86181862250413,-113.91182034028367,-122.3907677490198,0.8704740736401045,-110.56430172749575,-117.13977668103341,-102.99740501982052,-117.59821667623768,-121.40905120524931,-110.44306046596262,-116.27312087954812,0.9096773211681884,-110.16962376746247,-115.96098550040638,-102.84624458444401,-118.82615823646638,-123.93161492091758,-110.06886287181902,-118.72104981808872,0.8881419236088824,0.0014553054685813996,-0.004467889465518348,-0.003012583996936948,0.005086286387695887,0.005218230672828396,0.010304517060524283,23,1
-107.98363322571603,-114.99073973119307,-112.96300897634308,-119.804370026795,-124.35202990783392,-114.35195162024222,-120.05490850513675,0.91958250866509,-102.11241959345466,-111.54980641620189,-112.22181661363673,-118.26270886851479,-119.9446992307651,-112.445234059542,-120.4018812079945,0.9374756431979153,-105.74622322024007,-113.87755498400873,-112.6708481067695,-118.78465523956719,-119.57440496931483,-113.81277369158352,-120.46359462069779,0.951815513702871,-109.98134503534573,-116.94292543718659,-112.92938031729409,-120.58712630365811,-124.40642861000546,-115.01768067308336,-121.79990917906554,0.9245316496758029,-109.12762353761025,-116.40235639209008,-114.95295964514963,-121.6297181927871,-126.84557307276393,-116.06774888168034,-121.7538335805365,0.9150319248043369,-105.05683747172138,-113.51151705049438,-112.69192343082128,-118.55171890264884,-121.25886099533129,-113.33818026108173,-120.2413921869256,0.9346795717093654,-104.3432071156121,-114.90068889701767,-115.10199811747674,-121.0144977883748,-127.38990402622349,-115.35277716833497,-120.48783839719118,0.9055095696169875,-103.58846515875712,-108.48241026743638,-112.0899671863772,-117.3901044425733,-120.3064304995272,-110.96093271348467,-114.99354804022099,0.9223192164605095,-114.36392542788093,-119.65144164809037,-115.14305193856126,-122.46497760039523,-126.538725431474,-117.49481162216519,-122.1960367618193,0.9285284897688774,-107.39811563118815,-115.93500215199474,-115.39954835059747,-120.36787130375039,-126.97033801683452,-115.7376915555958,-120.19813649780303,0.9115333026856287,-109.9889257361524,-117.75342023273815,-115.92934001547349,-121.14604218908322,-124.89262503484355,-116.97512728136228,-121.19932578311752,0.936605562167723,-108.32918910430104,-116.04830979072374,-111.77657321900182,-119.52041888249877,-128.15026160889656,-114.18902003819196,-119.12054829522233,0.8910556920023067,-109.73689708809013,-116.100197648661,-110.33631445735531,-120.05940481751043,-126.30935034121993,-113.61909483589648,-120.60861381315101,0.8995303556621802,-101.91473936200926,-108.04119785831038,-111.44396414419552,-117.4151941537053,-120.55752166329965,-110.44922376276168,-115.38955082490135,0.9161537350712214,-112.76065851569518,-117.23008959272681,-113.4852025230294,-123.21811470000881,-131.75647134301613,-116.20908996932982,-123.54188600853463,0.8819991062662107,-111.23779536424607,-116.09409922435465,-111.29996536342995,-117.4237056227388,-121.10683092029498,-114.13891997483535,-118.59110254528292,0.942464757004124,-112.05176424915209,-117.33081810705373,-109.93529019231953,-119.03366142090465,-123.62405276153196,-113.82291943494607,-119.89133833972399,0.920718233162182,0.008879930442126585,0.0022902097036736537,0.011170140145800238,0.004304374005434979,0.0032220540592412593,0.007526428064676238,23,1
