mean_Delta,mean_Theta,mean_Alpha,mean_Beta,mean_Gamma,mean_Slow,mean_Low_beta,mean_Relative_gamma,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp1_Slow,Fp1_Low_beta,Fp1_Relative_gamma,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,Fp2_Slow,Fp2_Low_beta,Fp2_Relative_gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,F3_Slow,F3_Low_beta,F3_Relative_gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F4_Slow,F4_Low_beta,F4_Relative_gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F7_Slow,F7_Low_beta,F7_Relative_gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,F8_Slow,F8_Low_beta,F8_Relative_gamma,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C3_Slow,C3_Low_beta,C3_Relative_gamma,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,C4_Slow,C4_Low_beta,C4_Relative_gamma,T3_Delta,T3_Theta,T3_Alpha,T3_Beta,T3_Gamma,T3_Slow,T3_Low_beta,T3_Relative_gamma,T4_Delta,T4_Theta,T4_Alpha,T4_Beta,T4_Gamma,T4_Slow,T4_Low_beta,T4_Relative_gamma,T5_Delta,T5_Theta,T5_Alpha,T5_Beta,T5_Gamma,T5_Slow,T5_Low_beta,T5_Relative_gamma,T6_Delta,T6_Theta,T6_Alpha,T6_Beta,T6_Gamma,T6_Slow,T6_Low_beta,T6_Relative_gamma,P3_Delta,P3_Theta,P3_Alpha,P3_Beta,P3_Gamma,P3_Slow,P3_Low_beta,P3_Relative_gamma,P4_Delta,P4_Theta,P4_Alpha,P4_Beta,P4_Gamma,P4_Slow,P4_Low_beta,P4_Relative_gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O1_Slow,O1_Low_beta,O1_Relative_gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,O2_Slow,O2_Low_beta,O2_Relative_gamma,alpha_frontal,alpha_temporal,alpha_asymmetry,beta_frontal,beta_temporal,beat_asymmetry,participant_id,label
-107.68097936513556,-113.31928154830972,-112.68233976999502,-121.49278786204559,-130.07119378132637,-113.42753304495898,-118.38859814984458,0.8720419160267842,-111.15800631121328,-116.0807374498916,-113.87262935296815,-120.76917305417668,-130.11924379156017,-114.93588124736844,-118.18101712103055,0.8833119367915006,-111.52537884015419,-115.68001379062135,-113.88253834629664,-120.58040177276486,-129.4252596985913,-114.9218963480021,-118.09530032537592,0.8879402414616359,-110.22258330776268,-115.25092748240684,-114.39631836962104,-121.26652557353675,-130.0014555782766,-114.97397762787425,-118.94372842010127,0.884405310051671,-103.18800523408413,-112.20792113092944,-114.60066676101972,-119.77736735478584,-128.3323106263557,-113.81524935601952,-116.45483629045334,0.8868791405727654,-100.75261240373757,-108.31064372988156,-111.2030116345338,-119.33805997667575,-126.7211887927191,-110.38546937418215,-115.76757579238105,0.8710892821147875,-104.81096339412912,-110.57278655899712,-112.8864777009962,-119.82836537311996,-126.97376219925742,-112.47463431488228,-117.56594729853964,0.8858100474204903,-114.7607494381927,-117.93286669061361,-118.03827893007164,-124.87877042117607,-133.53943932578548,-118.10211471598447,-122.6379053037385,0.8843987612368223,-105.09651310916186,-111.86917331712932,-116.5142296963308,-122.42672681147711,-129.89734653519693,-115.08552293278727,-119.55033416528566,0.8859728547388283,-101.35801431049056,-107.53610703284703,-109.5309165982201,-118.75197109501761,-125.65022285676056,-109.3601778361771,-115.382596633372,0.8703540300190802,-104.03415630400178,-111.03435082667367,-113.60791918177095,-121.07645429548926,-129.24282080559598,-112.82683149440868,-118.06990873900175,0.8729833563762908,-113.76495462841272,-115.46689607231895,-110.21549932313751,-122.3513748167025,-133.2424686393793,-113.34289884336866,-119.2675563718198,0.8506514477011919,-106.61649056240913,-111.94962739444077,-109.69462000691446,-120.79546993481217,-129.5411012472333,-111.59609387352641,-118.01021558533095,0.8614724809274372,-115.2112663649164,-117.29756454950798,-115.25098162512481,-124.79584675835518,-134.47428513270475,-116.95010623417797,-121.25961909563728,0.869683792100228,-103.70947348167488,-111.93531300774612,-113.43668172846716,-123.26889446269428,-130.26781863249914,-113.23806856265341,-118.82418063443075,0.8692712425170128,-107.68968004333723,-113.77031585380401,-107.45331555127161,-121.6403836267444,-131.74154072386094,-110.93776057941994,-118.23887351386814,0.8420864062304607,-108.99682210849039,-116.21325988514593,-108.33335151317578,-122.33882046520078,-131.96883591544542,-111.89384537851089,-117.96797510714661,0.8478808243046343,0.000892362802427739,0.01827114750912596,0.0191635103115537,-0.006177954565286314,0.00969227562031793,0.0035143210550316155,24,1
-105.87356999824974,-113.44345580080436,-114.39154734147088,-122.53466387854893,-130.19187980853832,-114.4758301491502,-119.55826271555867,0.8792854847591085,-108.4867853719138,-115.8390855640453,-115.91600247550826,-122.67336126853894,-129.51807958453884,-116.47905089776752,-121.09858867655097,0.8993265748797603,-108.80288892388488,-116.64816889997525,-116.91596129988952,-122.91703760126633,-130.09259970241828,-117.36507234904792,-121.48572198739811,0.9021656313849974,-96.19957643535798,-106.53710218636714,-112.03901131921374,-119.80270642684759,-128.3241520686957,-110.328599047515,-117.84480892670541,0.8597648787770898,-102.23260367372276,-110.26416045791309,-114.14195808609057,-120.44632495608845,-127.89620311965473,-113.06543169926928,-118.18890612353977,0.8840405652503198,-99.92777330017923,-109.09063128185558,-112.55275223807732,-119.64239605123176,-127.0862759235259,-112.02423645431958,-117.50033704832747,0.8814817779516185,-103.70242056578552,-110.14884786879277,-114.75763836593512,-122.0650617288203,-128.12194217540625,-113.40331815740734,-119.78783006898416,0.885120192778156,-116.97450617803037,-122.46142101520586,-120.1056620165672,-125.38435737051662,-133.3605957219106,-121.3110459930146,-121.88043563843989,0.9096468513531368,-102.58006121174881,-112.04896503565799,-117.14797175605074,-122.85694103163063,-130.1381019552943,-115.08793530303696,-119.43172965343759,0.884352342425991,-100.46304554662234,-108.725038712087,-112.64195622767942,-118.60713866339857,-126.16058128046537,-111.69914341056436,-115.86395265519322,0.8853727707725757,-102.53827223760263,-112.40913706219082,-114.65184661921441,-122.14292179959102,-129.6963857988721,-113.76045154284492,-118.43317014654353,0.8771289256992869,-114.48860944090688,-118.46155629937844,-114.38980954106466,-124.37252715417863,-133.43747768738814,-116.52375984067612,-119.81075342851443,0.8732461214057359,-103.41080148475619,-111.13873879056821,-112.09943468733582,-121.54982443910745,-129.09694720604745,-111.97396163875466,-118.5454715691698,0.867363358019897,-111.58239704640263,-119.34058902271163,-118.90936125391102,-127.21365429396825,-134.414851293553,-119.64076889521458,-123.85372779690715,0.8900859372594713,-102.80597017483478,-111.36455560129248,-114.6922642452196,-123.63683493829933,-130.9610966294314,-113.32349669448074,-120.20643520620413,0.8653218368745172,-109.39162852796498,-115.91424805205571,-110.19315924352705,-123.48702751793853,-131.74002809223876,-113.38147077559994,-118.91167656204813,0.8606455639755524,-110.38977985228172,-114.70304696277219,-109.10996808824976,-123.75650681536023,-133.02475869717202,-112.24553968688947,-120.08865796097498,0.843794349158821,0.009297629117100727,0.008842697717055079,0.018140326834155805,0.002678964096279672,0.014686530625964282,0.017365494722243954,24,1
-107.03828569665288,-114.99796664582068,-118.58869871712369,-124.52434871118925,-130.1146411809643,-117.39050007807408,-122.34514142699322,0.9022082297011188,-109.32544842234901,-118.20874255250932,-121.34072205958284,-123.88592122942774,-129.0603020351799,-120.02369627216571,-122.88602181433738,0.9299815232064857,-110.03994205649312,-115.96661195002132,-121.37840813741975,-124.8375064066865,-130.49871681511962,-118.91247115747221,-123.82092189253282,0.9112156353685692,-109.64880872441498,-118.5079007839903,-120.74210153310133,-124.8953357775791,-130.4576437991479,-119.9098361551384,-123.19910615038216,0.9191476456508071,-104.01935861927623,-109.57185744064766,-114.78827902661362,-121.23329471362358,-127.68633126227593,-112.83201262136492,-118.90139768351358,0.8836655537514092,-100.22607228023523,-109.20788559545178,-114.18492886963213,-121.56063745394789,-126.36005052832101,-112.9872199670836,-118.73100362521292,0.8941688412965603,-102.57458147926751,-112.56839195306566,-118.02078343849178,-121.74017575718383,-127.09167025578888,-116.0774369908136,-119.42503082698708,0.9133363088012953,-111.53879729763797,-122.68863630898913,-123.47380889289582,-128.71004966870933,-132.6109957506167,-123.09728497310806,-126.47515725783292,0.9282585073458028,-99.80674769049743,-108.43478979128868,-114.4456449035797,-123.12799519944508,-128.76386060596104,-112.19476198375112,-120.52127024898827,0.8713218247399855,-97.57939654458266,-109.37610552895951,-111.31936104997898,-119.85004878461929,-125.41200851287091,-111.02221222100953,-117.40892292958,0.8852598211088807,-106.01740987994157,-112.75863427313429,-118.31931416874374,-124.08366055651001,-131.18010288937228,-116.4926113057559,-122.62583958670908,0.8880356756847284,-114.73492971156695,-120.06736552001537,-121.38681095369252,-127.5890836655808,-131.94396256976248,-121.33571837217376,-125.17817329469555,0.9196003819274425,-99.30147682506976,-110.8347117491429,-116.02996278414265,-123.05050288802605,-129.55547712537393,-114.35188266464371,-120.99080427444213,0.8826479991577868,-116.98293817477148,-121.422082931665,-124.41077242613576,-129.7120231251689,-134.26201143854735,-123.47608395700983,-126.27190858905405,0.9196650834739333,-107.36184817662199,-116.56758918695209,-119.11635443917253,-126.1969532963074,-131.82358565435828,-118.30770445413204,-123.69440383560905,0.8974699320069709,-109.52784127403486,-116.91881856952591,-119.40231756138579,-125.97921213789563,-131.97567999559539,-118.84625819532795,-123.77510611466491,0.9005163542199167,-113.92697398968545,-116.86734219777195,-119.05960922941011,-125.9371787183169,-133.15185965713744,-118.38080995823498,-123.61719470734963,0.889066140443419,-0.02527836320876752,0.03048246603973637,0.005204102830968851,-0.014878565962225265,0.01735558313496649,0.0024770171727412256,24,1
-107.56423578224769,-114.65624533768836,-112.64066510267205,-123.02464330265609,-129.4857217970431,-114.2011345604311,-120.21013989217303,0.8819592845876151,-110.67554699801823,-117.12635942779377,-113.67908957864505,-122.84192602600551,-128.3309155480583,-115.34284218345299,-121.76660780872376,0.8987923267816051,-111.38761359904981,-116.90866725990459,-114.25232345945841,-122.12153718857337,-128.5113996966701,-115.58666933767424,-121.39567545011809,0.8994273629459911,-111.81664165805913,-118.47428850479663,-114.23514290525479,-123.76707156722213,-129.06709782454934,-116.49374205374018,-122.30547473285306,0.9025827962142523,-102.72077792833332,-109.50830550776215,-111.87111229468044,-120.72565896279123,-127.18135123599019,-111.73519587166341,-119.53437973379266,0.8785501552372579,-100.62887514621485,-109.30095592180116,-111.1325556195703,-120.41912152128099,-125.11892975441529,-111.2091953790171,-118.20922841085508,0.8888278983627789,-104.04565077725923,-111.70227657148943,-113.69079519843199,-119.8218489444132,-125.08228911152075,-113.1172667796995,-117.08294210054063,0.9043427937175543,-113.99550812470714,-121.67948841340535,-118.57588096759606,-126.90118230382907,-132.43511486152465,-120.39303370050854,-123.55172513607246,0.9090718411532513,-103.32224866506306,-111.62518781740255,-115.59436592919798,-122.55908119951201,-128.40274706571444,-113.86319727960894,-119.15345427823402,0.8867660535435088,-99.74685531043916,-107.38117165649288,-111.1872573635888,-118.4693056223656,-124.43116989387016,-110.02647186776883,-114.6784928171177,0.884235613645782,-104.7817652185473,-114.43151918938675,-114.75511331841209,-122.40585541069285,-129.43437878258683,-114.9561147101105,-119.13598890462998,0.8881420515271624,-113.97396526791414,-119.56392553013207,-111.84856597664577,-125.17174068579342,-132.23030170798347,-116.21579901600677,-121.58804668391352,0.8788893129250887,-99.86583216509445,-110.36516841328516,-107.58044104090426,-122.1552435698126,-129.24243118185166,-109.88115652954313,-119.0102547148502,0.8501941314840629,-112.73294092058444,-120.06992553219965,-117.46993795463271,-127.4524523632606,-135.26582261260043,-119.66942590833024,-124.4002833928245,0.8846981713264106,-107.60551591696932,-113.51379981464488,-111.46455496431746,-125.64187975236962,-133.01779970078516,-113.32397643779817,-120.95746716014102,0.8519459552985619,-111.22209766109964,-116.35907107136397,-107.3873849804649,-123.89823719449778,-131.4954357434119,-112.70360737442817,-119.96078768560498,0.8570914019734315,-112.50593715861001,-116.48981477115278,-107.52612009095171,-124.0421505300777,-132.5243640311572,-112.70045853754677,-120.63142926449687,0.8504131248730253,-0.01045539677123901,0.015790999908754655,0.005335603137515644,-0.012439685212062148,0.01634269706948734,0.0039030118574251912,24,1
-107.43355897831253,-115.42336627766521,-113.7513862735734,-122.87916605939523,-129.98449712724695,-115.17700760741712,-120.44614718720163,0.8860826494921606,-108.11371804206705,-118.12296212872393,-114.49354406607256,-122.29197749928404,-128.39392414185363,-116.48370110729414,-120.16585654715853,0.9072368640949029,-108.75716108285764,-118.30449151891902,-114.0834360845008,-122.85157699767727,-129.37564188555442,-116.139254284899,-120.37944645302865,0.897690265279114,-108.69623726935568,-116.63395627434255,-115.97630477096162,-123.28871586526148,-130.3301864041529,-116.6726033268385,-121.56721856316031,0.8952078297888538,-103.94946133369655,-113.5735912667127,-115.08507114886656,-121.86721235432044,-128.05113441434773,-115.27291474056425,-118.37941660078542,0.9002100236579261,-103.67833715981908,-111.76373643177116,-114.92690345618223,-119.63020394571083,-126.01661036124439,-113.72695583860293,-117.11797897574154,0.9024759157748219,-102.89431162195469,-113.61149508117597,-113.81118923381558,-121.32955025483791,-126.74152001674096,-113.65650471838617,-118.93205170519852,0.8967582580939031,-113.19591836022818,-121.55988874362288,-120.19866270403081,-126.06138664179397,-133.31007262994333,-120.92303727806376,-124.15753767250794,0.9070810246554672,-102.22782380317963,-111.58661403865041,-114.44509568202716,-123.23741650249379,-130.59550898992123,-114.21242352818093,-120.58703969043094,0.8745509276049863,-103.17106843635096,-108.7046087223582,-111.56992286608852,-119.11347428370155,-125.95997298264372,-111.16111911094524,-118.0934774622866,0.882511455653157,-103.35433558629217,-112.25193557476167,-112.63142735101216,-121.69203310299409,-129.4094432469145,-113.08625949880361,-118.72008749199367,0.8738640447052533,-116.09786716512026,-119.09312458003556,-112.36538000452398,-123.93618936504781,-133.50919568311738,-116.42637039733975,-121.28227415493483,0.8720475754619664,-104.10468299676049,-112.93050552000621,-109.10871713193215,-121.79446868546678,-129.2157481696887,-111.93213714307552,-118.56087231696719,0.866242224562938,-110.17620457122605,-121.10458702015728,-117.10917435230374,-126.53922096208584,-134.6190937525617,-119.84519138703324,-123.35725442432894,0.8902540348943084,-107.69561033255678,-115.15455165419297,-115.64958792349893,-125.59365797964668,-130.92565112236286,-116.4211033975465,-123.92650538277672,0.889215385980701,-111.00586542724693,-116.45782574346528,-109.1791743661927,-122.87736525837443,-131.05421328302668,-113.44321192005074,-119.79363227404907,0.8656204869587599,-111.81834046428847,-115.91998614374764,-109.38858923516504,-123.96220725162694,-132.24403695187695,-113.42933404104942,-122.11770527987738,0.8577274004598474,-0.003857129381953871,0.004734603444161954,0.0008774740622080834,-0.005798364825458434,0.01070805583840647,0.004909691012948037,24,1
-107.56205868918359,-114.28113879574357,-114.94177676845597,-123.39294669617097,-129.6230159131884,-115.13943907072196,-120.3642857646946,0.8882638492830129,-113.86476731540334,-116.22705803102076,-118.22345347478438,-123.22029059417619,-127.17072593105557,-117.37211344783138,-121.22862992851529,0.9229491503529168,-110.53822378102925,-116.52649659117027,-116.5651290875908,-122.97409650591065,-128.82159608553843,-116.67362969790605,-120.5227371853382,0.9056993023160026,-106.85334110284806,-113.97863016506689,-116.90187018001805,-123.01597326003254,-128.421526430287,-116.32309145470809,-121.23644087581553,0.9057912227655502,-106.07975576522414,-114.88745119014924,-114.42893609927378,-121.37510969179226,-129.10282184626817,-114.89057560280123,-119.8072798325533,0.8899152935604269,-99.4295327734676,-106.8761939670224,-112.58524123952813,-119.87555321870038,-125.27705773350596,-110.70257424098057,-116.46674509654946,0.8836619908209469,-105.30610956036065,-112.88324532342364,-115.24737053824803,-121.74254617109779,-127.39649451767595,-114.51136565264603,-119.43216491289373,0.8988580579566722,-111.08596309515457,-118.51220548457623,-120.540104100369,-126.7940251645379,-131.91714317556898,-119.84353871144324,-124.21521369368418,0.9084758495106513,-103.20779779407889,-110.02700136869231,-117.71536400989251,-122.40981285358387,-128.84603232839302,-114.93336054866057,-119.16520246362973,0.8920209530063535,-98.44836859708593,-107.07432502023757,-111.63804016655894,-120.25399450083567,-126.13701263818939,-110.19981282469956,-117.28414448821896,0.8736516785980655,-101.97582654759498,-110.52260169538893,-114.78035139577426,-121.95677082319004,-129.02533436030788,-113.28277276453987,-118.0897617047274,0.8779886006587951,-115.41871192839037,-119.02668835118153,-112.42731465146979,-126.01009068157379,-133.02660200251108,-115.99438918565329,-122.33699188707979,0.871963858653352,-102.34062958160455,-111.20457259995584,-110.94181200444427,-121.78848508245076,-129.74764973907796,-111.64297905848187,-118.11193673810332,0.860462438302316,-116.64173200653349,-120.86210104552744,-118.16873421443177,-127.63417547436165,-133.57523271400476,-119.75001984284967,-123.70921764375103,0.8964986802549244,-111.37134976142585,-115.26965891559666,-117.01496485741774,-126.12855019027077,-132.45825204359684,-117.08160321792298,-121.81402806190982,0.8839132436942256,-110.37752242981064,-116.47634409608042,-110.415043432417,-124.12144441579764,-130.89585723028435,-113.94821623673013,-120.98353016684406,0.8705257648930911,-108.05330698692501,-118.14364688680716,-111.47469884307706,-124.98622851042352,-132.1489158347488,-115.08098264369664,-121.42454755549994,0.8708431841211964,-0.010690033552032095,0.013878339155811211,0.003188305603779116,-0.006714089353921845,0.007030143024718246,0.00031605367079640036,24,1
-108.05539677208336,-113.13212029103777,-116.50557781801069,-122.34504721084095,-129.36392044922295,-115.34139137364215,-119.4566685287327,0.8916040189035178,-111.24948855234007,-114.3628825951155,-117.00081499524904,-121.32796915506296,-128.9078760798397,-116.00276684582576,-118.84111427102229,0.8998889003025611,-111.11313682888945,-115.07377509895186,-117.26308659590953,-121.41903424506887,-129.3793339705099,-116.3450467693852,-119.41747330777633,0.8992552612452337,-112.04064051974521,-115.48433904408726,-117.4929191290795,-122.42452789995225,-129.3694150504871,-116.51596646971247,-120.38082153452159,0.9006453837967923,-102.3300549517804,-112.16215602303178,-115.93975557338774,-121.47201006728994,-127.85059836651138,-114.20894789336838,-117.20475178302463,0.893300065487091,-101.99496546601561,-109.14477762187751,-114.35837385482444,-119.24289928734966,-125.85765552574595,-112.25682986900702,-116.71001999554657,0.8919348560886176,-103.53299788958557,-111.74196266685779,-115.3678170944563,-119.7584171909348,-126.87899797367346,-114.15377185980797,-117.69350032746608,0.8997058117017452,-114.26340336709885,-116.93005200784307,-119.05803692091388,-125.57117273909925,-131.47071062840362,-118.88077310337846,-123.33953578399618,0.9042377008167996,-104.46603633960132,-111.91336872294205,-116.3354982187891,-121.9708509563418,-129.4254984192582,-114.70005396518575,-117.29856636469484,0.8862245489959703,-102.18920374353615,-105.70539826643672,-111.91858120042099,-118.29091867173237,-125.58758560048874,-109.55368369752179,-115.48600373658626,0.872328926252528,-106.30029173822649,-110.96581128754248,-113.65884419195652,-121.26940957898266,-129.54232802750727,-112.98470783083891,-118.36023018662533,0.8721837066788511,-114.36694306549472,-115.24157118056577,-117.19675709997477,-123.97994998300261,-130.0442413084734,-117.15644716910076,-119.83510904536129,0.9008968485670814,-102.74465195808304,-111.3364802940328,-115.81813770413751,-122.02811876085191,-128.52363154849087,-113.82133042201319,-120.04168103974715,0.8856062426081492,-113.10331900376063,-117.73683294873636,-119.59343544754178,-127.46781742097376,-132.65279225596333,-119.18482956841348,-125.4114650962353,0.8984720754195477,-109.04925547013349,-115.62943086078609,-120.07987633437644,-124.35557662679561,-132.5311512984624,-118.36584112664147,-121.8135020579619,0.8931171273090324,-111.41242981743318,-113.60358961406386,-115.61890441253422,-123.13992443189548,-130.10608922183098,-115.35502967861437,-119.08100160050292,0.8866228350153078,-108.72952964160926,-113.08149642373327,-117.38840631461913,-123.80215835812123,-131.69482191192057,-115.97623570945956,-120.39192032865466,0.8806438554359121,-0.006653582484420454,0.0077147036699636694,0.0010611211855432153,-0.0039054176028945607,0.012433155894381272,0.008527738291486711,24,1
-106.91271114154975,-112.48834572742999,-114.25635518981525,-122.09557030032153,-130.38156163773377,-114.19005636177222,-119.86982618966162,0.8758144551071587,-108.40521554365682,-113.44720928624474,-114.43784105339441,-121.8617750853471,-130.7163558640804,-114.67752994950314,-120.260730791649,0.8773005427778714,-108.21305921915231,-113.46299574306062,-114.71342922845122,-122.3623155896977,-131.1344394915899,-114.62794889866346,-119.83659475370631,0.8741254345012468,-109.97424630958709,-114.54657531189547,-115.8276667298406,-122.23493483170732,-130.95602278294882,-115.9854208968669,-120.68342033380097,0.8856822193592827,-103.10137135348873,-110.98077248003428,-115.15323933866057,-121.26959657289824,-130.3873582484082,-114.04608483427647,-119.19656864055958,0.8746713359818284,-99.7073414836782,-109.54349804410852,-112.49231632491332,-118.55357089188142,-126.50408237891318,-111.35701698648077,-117.2080926020696,0.8802642167146595,-103.24772588998519,-110.09388644943006,-114.81003496466678,-120.03619764695834,-127.58676867091168,-112.98157734610338,-117.42688286696583,0.8855273828395176,-109.9798109537803,-116.31708817160121,-120.17517932300997,-125.39671944397988,-132.05566134777627,-119.03318121472772,-125.20311031640107,0.9013864305389143,-104.58112205085149,-108.75452819232468,-116.82576170223675,-121.72925255561917,-128.30559130853774,-114.22526954224817,-118.79616893667418,0.8902594842306562,-99.65967384794652,-108.46013591042917,-112.45418988397132,-119.06839144734992,-126.31926717637899,-111.1328047781941,-117.13965743880149,0.8797771493007468,-105.17371388475956,-110.10185048650577,-114.54026814417897,-121.34079419810654,-130.12141452125337,-113.4842334467149,-119.40643436908937,0.8721410988671581,-114.64307865266053,-114.1489977493846,-112.77535480725054,-122.60704484346782,-133.35814335000603,-114.37305305537592,-119.76471131637277,0.8576383127590291,-101.65019675127729,-110.58231630610298,-108.23203049242781,-120.93865432214143,-129.97201284657015,-110.37813888891475,-118.28356743633881,0.8492454373174504,-113.0857097484026,-118.15500039739116,-118.62553362885635,-125.36527561529732,-134.28457156128266,-119.09816441037631,-122.78273792753389,0.8869087716158381,-109.0987240315439,-114.49498037209207,-115.51034180404977,-124.99829148500982,-132.21341779361254,-115.89416621576008,-122.2091544343049,0.8765688698606439,-109.75781267407147,-112.89013479436956,-110.88682420324409,-122.13695470377937,-130.97662519702843,-112.69484918195423,-118.7125732469752,0.8604195520569194,-110.32457586995386,-113.83356194390514,-110.64167140789169,-123.62935557190292,-131.2132536644417,-113.05146214219558,-121.00681362334291,0.8615856934034103,-0.002919840443348246,0.009189996435723297,0.0062701559923750505,-0.003964354393081432,0.009452229309190536,0.005487874916109104,24,1
-107.42453519921649,-115.01400886932674,-114.03732479981099,-122.6524725051661,-129.58094226199069,-115.13047054730083,-120.47328495203456,0.8884830480282089,-104.25626993340938,-116.93467809733141,-118.68150525562913,-122.12436684106984,-128.65275614302067,-118.33377502148466,-121.38376975155636,0.9197919933400835,-107.51580952360193,-115.9091643664612,-118.64173007741473,-122.06494051773606,-128.8500904470057,-117.8166224734916,-121.26772311843064,0.9143697304733208,-109.78495122916578,-120.03748721031415,-118.7963850374748,-122.65888703439856,-130.79659596761064,-119.83482231009553,-121.35870989714208,0.9161922099239526,-105.00245617421771,-114.22335405606871,-117.16323789044242,-121.60403106608467,-129.21632017242123,-116.04307737722567,-120.10212402751304,0.8980527941237012,-102.32968263467319,-108.72373480685859,-111.49732079664149,-119.92001681990514,-125.3723110402931,-110.82980911097867,-118.13940102604225,0.8840054729098784,-105.0445529913071,-112.88499723061103,-115.11395558963841,-120.77472779085753,-126.59551396365435,-114.4986641312661,-118.79196303961493,0.9044448775976274,-109.78812071945933,-119.08879513844079,-120.64432717422595,-125.9303254405522,-131.99961614485198,-120.18243422191034,-125.0003809453717,0.9104756341868914,-101.96150683761911,-109.88375024618138,-115.49736801485598,-122.56542285877691,-128.78435286647388,-113.73035146821937,-120.0257787554734,0.8831069065209902,-101.59868857255522,-107.72401492631933,-110.49032886836385,-119.16785117911986,-125.10518133677397,-110.1722291907002,-116.88283337493205,0.8806368210611888,-104.9996120221335,-113.35146083459752,-113.58535410505976,-121.90830080306512,-128.9730118860242,-114.10952200894172,-118.60804384254007,0.8847550378197137,-116.73368010136399,-119.10163569831771,-111.05431773714362,-123.92300180928281,-131.94725946234988,-115.79463472753893,-121.04931083186804,0.8775827190300988,-105.57860936568325,-114.16876280543983,-107.79061400100879,-122.32860727386073,-129.25886081170626,-111.21712961556138,-119.56095716687356,0.8604217066215166,-115.01743815119752,-118.49652660845418,-116.36498248145462,-126.15228358373781,-133.958873862958,-118.50918192497296,-123.49338553951267,0.8846683949150669,-107.74119840223258,-116.93706957114102,-113.49106648015173,-125.89200249354629,-131.76898310224036,-115.83008794654228,-122.64266425860168,0.879039097210525,-109.16242782809675,-115.50239410961164,-107.57618309433842,-122.4310878475382,-129.85488275376056,-112.06630561894713,-119.84901283361253,0.863011873272834,-112.27755870074756,-117.25631620307972,-108.20852019313213,-122.99370672312591,-132.16046623070645,-113.11888160893675,-119.41650082346791,0.8559207214922374,-0.0069212991899520685,0.013812410144758999,0.00689111095480693,-0.004318526841966033,0.011367568303262805,0.007049041461296772,24,1
-106.68375164034934,-114.63391355616044,-117.80288293033033,-124.46226723292006,-129.84971376626896,-116.8301956224928,-122.04921135896068,0.8997339480685228,-107.19436527587605,-116.82747597866488,-119.04730734223078,-123.82941729349935,-128.455160703872,-118.24326717402886,-122.50689497719284,0.9205022711902977,-108.0068589505226,-116.66972681229676,-119.3413149542989,-124.71244355666076,-129.48353692791758,-118.32662041116444,-122.91383931271005,0.9138352505541758,-109.5693719182309,-117.00491624494555,-119.75489317439383,-125.20128355976355,-131.54740737883506,-118.9219921999142,-124.84924151490635,0.904023838778048,-103.64846066146397,-112.17717571114126,-116.90211422902973,-123.01781613816387,-128.2795516832923,-115.38892313570081,-121.20026474168858,0.8995114312574384,-101.4375241461932,-111.3395135212365,-114.74969993276096,-120.90834840118077,-125.63312602215098,-113.57076544278692,-116.85608194084764,0.9039874198685681,-103.34384820569642,-113.66339876221328,-115.49806413962617,-122.58855058216629,-127.87038516696248,-114.90311169823615,-121.46729062070958,0.8985904871421576,-108.80984178088254,-116.75405341053609,-122.74426504806837,-127.8112946556255,-133.0134469113249,-120.56701184075109,-124.94826198952927,0.9064272420601852,-97.96564599956238,-110.551330189204,-114.33415159929848,-121.93596432401294,-128.80673685995376,-113.02466399491843,-117.9634618225057,0.8774747870354442,-100.70911418327316,-107.57782792082996,-112.68593334266015,-120.23484912755896,-125.70491151935882,-111.14390334459362,-116.16431242669485,0.8841651611001471,-99.87501962295828,-111.52634568079104,-114.89406806308648,-124.16209754582414,-128.08198611310905,-113.7316890335697,-122.31343673012036,0.8879600674924994,-118.53326330570354,-120.60501489439339,-119.67461682709711,-127.04334095643992,-131.16333336822808,-120.27792623682191,-124.23691677807615,0.9170087641730905,-104.65601945915586,-112.71647416184828,-117.02813730663311,-124.00464350970933,-129.66553917800795,-115.68626618586069,-121.635994355512,0.8921897592778588,-111.0084445230896,-118.31111806914764,-122.57453937772794,-128.40135218586119,-133.69256744322604,-121.27991487331994,-124.99207141152922,0.9071552532254475,-107.96416531080752,-115.30420248323077,-118.61359067441913,-125.8135813579217,-132.55127545450708,-118.16499130802838,-124.01012197864135,0.8914662714700454,-110.83742230767083,-116.84940438304652,-117.89133617196686,-125.69580465897648,-131.24141516965216,-117.85825788706231,-123.32369064664042,0.8980264174590786,-113.3806605945027,-116.26463867504098,-119.1120947019875,-126.03548787335633,-132.40504035990548,-118.19382519312727,-123.40550049606655,0.8926686240331254,-0.012054487533094802,0.009702674693676189,-0.0023518128394186127,-0.008796532677206865,0.016069138635817867,0.007272605958611003,24,1
