mean_Delta,mean_Theta,mean_Alpha,mean_Beta,mean_Gamma,mean_Slow,mean_Low_beta,mean_Relative_gamma,Fp1_Delta,Fp1_Theta,Fp1_Alpha,Fp1_Beta,Fp1_Gamma,Fp1_Slow,Fp1_Low_beta,Fp1_Relative_gamma,Fp2_Delta,Fp2_Theta,Fp2_Alpha,Fp2_Beta,Fp2_Gamma,Fp2_Slow,Fp2_Low_beta,Fp2_Relative_gamma,F3_Delta,F3_Theta,F3_Alpha,F3_Beta,F3_Gamma,F3_Slow,F3_Low_beta,F3_Relative_gamma,F4_Delta,F4_Theta,F4_Alpha,F4_Beta,F4_Gamma,F4_Slow,F4_Low_beta,F4_Relative_gamma,F7_Delta,F7_Theta,F7_Alpha,F7_Beta,F7_Gamma,F7_Slow,F7_Low_beta,F7_Relative_gamma,F8_Delta,F8_Theta,F8_Alpha,F8_Beta,F8_Gamma,F8_Slow,F8_Low_beta,F8_Relative_gamma,C3_Delta,C3_Theta,C3_Alpha,C3_Beta,C3_Gamma,C3_Slow,C3_Low_beta,C3_Relative_gamma,C4_Delta,C4_Theta,C4_Alpha,C4_Beta,C4_Gamma,C4_Slow,C4_Low_beta,C4_Relative_gamma,T3_Delta,T3_Theta,T3_Alpha,T3_Beta,T3_Gamma,T3_Slow,T3_Low_beta,T3_Relative_gamma,T4_Delta,T4_Theta,T4_Alpha,T4_Beta,T4_Gamma,T4_Slow,T4_Low_beta,T4_Relative_gamma,T5_Delta,T5_Theta,T5_Alpha,T5_Beta,T5_Gamma,T5_Slow,T5_Low_beta,T5_Relative_gamma,T6_Delta,T6_Theta,T6_Alpha,T6_Beta,T6_Gamma,T6_Slow,T6_Low_beta,T6_Relative_gamma,P3_Delta,P3_Theta,P3_Alpha,P3_Beta,P3_Gamma,P3_Slow,P3_Low_beta,P3_Relative_gamma,P4_Delta,P4_Theta,P4_Alpha,P4_Beta,P4_Gamma,P4_Slow,P4_Low_beta,P4_Relative_gamma,O1_Delta,O1_Theta,O1_Alpha,O1_Beta,O1_Gamma,O1_Slow,O1_Low_beta,O1_Relative_gamma,O2_Delta,O2_Theta,O2_Alpha,O2_Beta,O2_Gamma,O2_Slow,O2_Low_beta,O2_Relative_gamma,alpha_frontal,alpha_temporal,alpha_asymmetry,beta_frontal,beta_temporal,beat_asymmetry,participant_id,label
-108.28444110597718,-114.5949198623834,-109.78576625303131,-121.68779707615056,-127.45479774946901,-112.40293683259716,-118.64521281984483,0.8819043207266433,-99.01611169589522,-110.76706007903736,-108.28034083482534,-118.95167233635566,-125.45650954247346,-109.70891169843674,-114.81295880260326,0.8744776345088308,-110.58221182825729,-115.28723494122282,-110.32190130951047,-121.94168093040426,-127.96073563965358,-113.01101820446347,-117.94696661245865,0.8831694944510982,-101.57427040986752,-108.61336454830177,-111.31467818025088,-117.83783305015069,-122.12386504944502,-110.52957781355657,-115.94294325522088,0.9050612488296682,-110.21171060769208,-114.66626299714189,-111.4545593730468,-122.36146108897267,-128.44999327727712,-113.73194687095163,-118.94962177704056,0.8854180834828497,-108.74696051806288,-116.43158942528584,-111.7329399970296,-121.75340450036474,-128.09984975586914,-114.1736788593621,-117.57940369834675,0.8912865946131292,-107.28120605788004,-112.50652033846465,-110.1468337394235,-121.37442853620068,-127.92729487251579,-111.59274380588703,-118.43921176527499,0.8723137929016107,-109.56283980895566,-120.27635592610257,-115.45452485450932,-126.16179767947739,-131.9895138422984,-118.09967386341538,-122.39341745539815,0.8947655796696193,-108.61454890461506,-115.29302379612733,-113.95451687888266,-124.33325920422045,-129.77633249420157,-115.36142905205209,-119.65522377628128,0.888925020725227,-112.01310186003337,-117.65857435475186,-112.3302809170621,-121.06584725928109,-124.11923772920271,-114.66590341225194,-119.0169110332474,0.9238366711727992,-106.62959360915895,-115.0057340158474,-111.02882734283,-122.74114582729004,-128.9991662845178,-113.13523694762257,-118.92761370575184,0.8770230088006454,-113.81514371066729,-114.52972887885697,-107.00245171055485,-121.19150457494288,-127.14213087222743,-110.87559413417866,-119.55812247971596,0.872060216181244,-107.50484438475924,-115.1248226278024,-103.8754688721009,-120.59306805528377,-128.00809971364384,-109.1160784928628,-117.71382187763736,0.8524154232189776,-109.53745746274447,-114.58856373213787,-111.37910125080526,-122.73577583583585,-128.03137614199426,-113.5938343936558,-121.45586969316855,0.887234346896917,-102.97801489490905,-113.64007519783776,-108.33754827546001,-121.97518378947122,-127.63670193284052,-111.25345863068206,-118.26774165373122,0.871641596389893,-112.23584443612383,-113.05319821504104,-103.8949958114915,-120.65102765985493,-127.58386767091851,-108.64899067053781,-118.50702571140249,0.8515887835504401,-112.2471975060129,-116.07660872417506,-106.06329070071763,-121.33566289030298,-125.97208917242477,-110.9489124716382,-119.15655182023823,0.8807420215106256,0.0006279196999202332,-0.005826731599938953,-0.0051988119000187195,0.01883281154107763,0.006871413107556308,0.025704224648633936,18,0
-107.79685057933713,-114.60307491010262,-109.80660081456102,-122.14481027201361,-127.91344980807966,-112.48287283760483,-119.636022836042,0.8793670486283753,-97.95443639625498,-109.71059754721024,-106.95677407112784,-118.85884724220307,-126.37499348161575,-108.97532273043258,-115.07156540910353,0.8623171382895908,-106.40358538621368,-115.85128229411855,-108.61211743441882,-122.66858482793926,-128.4586532339858,-112.17929888594239,-119.88129228500054,0.8732716408104421,-102.25029458455654,-110.39638391640433,-110.95469721782763,-117.90279236827689,-122.39581024805001,-111.27930474111368,-116.11764519061846,0.9091757676638818,-108.2426662315664,-115.01226151865482,-110.03070467686373,-122.91234025656316,-128.29230324535695,-112.96009203731371,-119.9234323864494,0.880490015221563,-107.82378254988836,-117.73984728064954,-109.20224946256116,-123.37200231044378,-128.41744790337478,-113.28471022456976,-120.49076488976205,0.8821598005109761,-102.0600145523353,-111.9050785872368,-109.5322109082477,-121.74311890244192,-128.13500820056282,-111.35870904265029,-120.63077167645872,0.8690732580150656,-113.73748068786472,-122.61534068228464,-112.62449978910534,-126.74056257834657,-133.5285251011501,-117.4212583534826,-124.61012955167314,0.8793720912032393,-107.47668217361864,-115.40368006897977,-114.96845211138321,-123.80152208202638,-129.76462794055638,-115.5959695249901,-120.6545062449074,0.8908126302180223,-110.97066274996192,-117.62480664737113,-110.66697938976246,-121.40022614059751,-124.1636158102771,-113.95522092144324,-119.82010563686725,0.9177827190178454,-106.24225974255006,-113.2120644830862,-110.84060810917455,-122.12194633688812,-128.70486558531474,-112.40619738489639,-119.51283030052653,0.8733640089961134,-114.70143559250003,-115.4865375248706,-109.50881788125048,-122.19740056252716,-127.9967381521759,-112.47583514689252,-120.52155429498771,0.8787398551763834,-111.94486664892545,-113.04362718422311,-105.59048474639866,-120.25787131912642,-128.5559320050847,-109.67542970529269,-116.83583963146005,0.853133947183042,-105.35521129231378,-116.0508543998498,-114.27803024391623,-123.97164674601287,-128.43922458090665,-115.4372735411136,-121.95110972077829,0.89876962367051,-102.04183700200309,-109.36026434069767,-107.82667887880983,-122.14269679860226,-128.42547978776744,-109.7367088961194,-119.29543050567386,0.854477702380146,-113.80514941341059,-114.74606492544682,-107.32976201661467,-122.21347150865482,-128.0056855348944,-110.8707320472881,-118.85161248564654,0.8661391217428751,-113.73924426543053,-115.49050716055747,-107.98254609551414,-122.01193437156759,-126.956286118201,-112.11390221813616,-120.00777516675846,0.8830905947717623,-0.00418123791454883,0.0007838499862354673,-0.003397387928313363,0.020802463008379606,0.0029636734468494025,0.023766136455229007,18,0
-108.45825897994516,-114.06266953996503,-108.9301295872762,-122.19007501239032,-126.8219344601599,-111.83224376435588,-119.3048368234598,0.881805219581216,-102.72247807301585,-110.53238635682891,-106.82232742381902,-119.86358559406658,-124.29022991787784,-109.26914030291383,-117.24854551749812,0.8791450492537597,-111.36760177435215,-115.24307220993687,-108.66571685500283,-122.44153259093571,-127.30587151336115,-112.18179699182687,-119.86412788871299,0.881198923963637,-103.45358328500842,-108.65170356391968,-112.83355337537122,-118.52718275926316,-120.35683824405405,-111.49537404841664,-116.91841133145215,0.9263734049105832,-108.30956579869111,-114.68863446930611,-110.78916279275373,-122.69416911806844,-126.83234021263385,-112.95149133748765,-119.65126993048825,0.8905574962042409,-110.83351656586561,-116.3414274863333,-107.99220738594585,-123.21806900625303,-128.10544803430963,-112.51700122583287,-120.64008044999044,0.8783155045498002,-104.71165540705184,-117.09243916695497,-108.69560658400418,-122.11592601942075,-126.68539375477765,-112.56115696398359,-118.37863656646697,0.8885093508243416,-116.78664544358915,-119.00077769941913,-112.13673030774181,-125.37024158244833,-132.70894332581457,-115.9130902559778,-122.54122185523512,0.8734384235989193,-109.69834551651135,-115.84481121522435,-113.45378549725436,-123.63378151024426,-129.50687506187865,-114.58509521183711,-120.09425471976985,0.8847800177178866,-106.75890217161447,-115.76056021350786,-107.84219397201791,-121.17567203499964,-124.6013994988964,-112.28597959263791,-118.43296552802664,0.9011614640302049,-104.54248966733067,-112.02614312279535,-109.5774140401364,-122.09267548824067,-127.33280530048002,-111.47324447091816,-118.41266476626731,0.8754479586612699,-111.0647387969164,-112.85401751270336,-106.78296239296597,-122.73587673878525,-126.93756160603122,-110.41029138676848,-119.38221903817023,0.8698000023778818,-107.6264345298059,-111.41819276027917,-103.54587762973532,-120.78237593899145,-127.98788014798932,-107.6534627379599,-117.27587031971004,0.8411223204375506,-109.97841654930752,-115.76200938201242,-111.9671205261776,-123.90105074008382,-128.41473933414198,-114.29652633496552,-121.42317181680652,0.8900576906328477,-102.83828881469634,-113.2432083792748,-109.00213040760107,-122.82363071252188,-126.15251503054394,-111.5450791898806,-119.08529624889496,0.8842081282554961,-112.00988491134501,-112.30526622408111,-105.94025090160713,-121.98608559412635,-126.35007797937388,-109.40775496876819,-119.45870957936253,0.8659096750745856,-112.62959637402093,-114.23806287686305,-106.83503330428496,-121.67934476979596,-125.58203240039379,-110.76941520951893,-120.06994361850451,0.8820482762721364,-0.009142141807634934,0.007980973215725284,-0.0011611685919096504,0.01727453364461836,0.0037695140472536496,0.02104404769187201,18,0
-107.67448986082216,-113.3058598935363,-109.38993169655217,-121.94533793871861,-127.71791335426822,-111.59528512185449,-118.258897555223,0.8737637672822586,-98.33154990723521,-108.8909081943242,-107.420310680705,-119.33352603281588,-124.71157767188433,-108.36707303738076,-115.86896686153734,0.8689415614843243,-106.76295961193964,-114.45606499866578,-108.68459448448574,-122.51874418738399,-127.8402361302,-111.653640096631,-118.09444438872505,0.8733841822923135,-103.67300127096657,-109.05744984359954,-111.38671306998337,-117.65744858412982,-122.09754707097939,-110.96199629706892,-115.845578926187,0.9087979157563502,-108.31598805599764,-115.26211275612968,-109.98930656867873,-122.75605118602176,-128.30499500850527,-112.69778711868938,-118.87366138802231,0.8783585324267282,-106.11773923834608,-117.11003474464083,-108.8733330567514,-122.31428090259934,-128.69701819545244,-112.73147703885064,-119.1645825843076,0.8759447469687689,-105.59721030522857,-113.10138660561974,-109.18782206191338,-121.22246130217651,-126.97572829500413,-111.75473145393654,-116.97621090500417,0.8801267214966905,-115.21554005015541,-119.30226093714383,-113.08527706719616,-126.01220955541687,-132.5746536352844,-116.31442331680068,-122.44042685741611,0.877350384310896,-109.36778297416014,-116.18869463976291,-116.3259387962388,-124.44260907040577,-129.78115373762824,-116.60479932398877,-119.59810518333595,0.8984725128867522,-111.49425400544035,-114.71239936627796,-109.30637338737273,-119.86176964913841,-123.17512681626992,-111.87898187236752,-117.20864888685558,0.9082919966402638,-105.99726681587047,-113.28486830521835,-110.8561306528413,-122.13345613264813,-128.11089189135512,-112.61213997641099,-119.41717584214038,0.8790208101268399,-111.44039950059567,-111.5775294796493,-107.09541320063485,-121.62746765997554,-128.55228391913664,-109.5960434114229,-116.51479703623939,0.8525406167062904,-109.27816183874937,-111.31297297051213,-104.50553131777012,-121.25650223422741,-129.31885847691265,-108.08641795050019,-116.5835017884873,0.835813269800838,-107.25600532418767,-113.53023939688983,-111.29114449505823,-123.03504298469224,-129.4843059666145,-112.6437145586744,-119.06422249424025,0.8699410613338563,-104.7735765012844,-111.41632113225042,-109.41566739340522,-122.92076013449072,-128.4032081110483,-110.75867761982445,-119.18931387628123,0.8625849715844784,-108.72731615188196,-110.2412349824262,-105.59233393800443,-121.90570577519308,-127.98114275475403,-108.24793342443871,-118.18284272240122,0.8458115867262617,-110.44308622111552,-113.44927994346988,-107.22301697379501,-122.12737162818246,-127.4778859872618,-110.61472545268589,-119.11988114238724,0.8677169737795859,-0.006312366188467663,0.007039151703986336,0.0007267855155186726,0.021207638534302284,0.009387319424054113,0.030594957958356397,18,0
-107.75504424833558,-114.57509141465391,-108.19929103031586,-122.52465728718722,-127.34165269944054,-111.512292683734,-119.10329654801755,0.8756937759158195,-100.17350508863825,-109.19124205465205,-105.88383051947986,-119.21777384347115,-126.29944006467261,-108.11973681385783,-114.21061720472721,0.8560587185382158,-106.68842103827816,-116.83770799707186,-106.70407031656646,-123.16755121452782,-127.76166931460892,-111.8477838479459,-120.19092643667682,0.8754408458183527,-101.10587858436958,-110.66823226707818,-110.02300771363906,-118.92952057088574,-121.031118267931,-110.48371339003556,-116.11379364981111,0.9128537765424404,-107.47441958243516,-114.59260614650839,-108.22550074314205,-122.4612524909258,-128.1314910751359,-111.77376212117976,-119.56927978452876,0.8723363880596378,-110.82932612153894,-116.49731040032032,-107.78084455345092,-122.90519630461176,-128.1216784607159,-112.4349726875842,-119.23640367669309,0.8775640003971577,-102.49112447553117,-114.13188166312987,-107.3799354391766,-121.53645071070575,-127.57007272814118,-111.21855861897441,-118.04296549576739,0.8718232751656986,-116.90805562069912,-121.31162988774548,-111.51442353297138,-126.31298050155561,-131.84457136753002,-116.48014850662103,-123.08261251292214,0.8834656391116846,-108.30511998564967,-114.35664122171806,-113.54823055526762,-124.33605759247672,-131.0982680930646,-114.45460614625216,-121.27243967774302,0.8730443796938845,-112.95089344803066,-115.90563275860534,-108.0813860111597,-121.41860307731908,-122.67764490579705,-111.89566811286085,-117.5450433302676,0.9121113157884994,-109.55830722666711,-113.96261489271266,-108.4579948102911,-123.06546331996405,-127.61382023829528,-111.48183653632667,-119.05152628132896,0.8735874870617845,-109.30143826119792,-115.90954023522387,-106.63207921405063,-122.67556114237128,-127.72268867350633,-110.68591688240845,-117.66746043206567,0.8666112343230695,-109.11682970611896,-112.18842187392227,-104.30165794362591,-121.96785354066138,-128.12983933169772,-108.05676981932397,-118.04241989637762,0.8433380575744786,-107.06359982581704,-115.61584346465315,-111.97570333592512,-124.92933687216282,-128.4489760880763,-113.95163597847947,-120.99895054693621,0.8871354171040169,-102.57738363874671,-110.86958543504647,-108.78237686086769,-122.25711399912274,-126.93793106207912,-110.7579735701647,-119.70833540443743,0.8725364644236907,-107.55192579643771,-115.07488948173862,-105.40819465135033,-122.71770471273187,-127.67007293994872,-109.71892241199389,-119.17521075882804,0.8593942173402032,-111.9844795732131,-116.08768285433605,-106.4894202840895,-122.49609670150227,-126.4071605798481,-110.83467749573518,-121.7447596791697,0.8768069545057443,-0.008236056150885284,0.001739216200317574,-0.0064968399505677095,0.014630766019941071,0.0067360636908290455,0.021366829710770117,18,0
-106.93874832206193,-113.72474681562522,-109.4745745530807,-122.62173081252146,-127.99272733910978,-111.71462721212232,-118.73496494146366,0.8728201166941344,-99.02748948372934,-108.79695545449111,-107.31360787597048,-119.77361266769115,-125.42649959684715,-108.57632802669701,-116.74334377054267,0.8656570053034175,-112.30826462827669,-115.84628705525212,-109.10235438645688,-122.77905757069162,-127.84542678560112,-112.09755723544205,-120.4096354224378,0.8768210178016888,-99.40591779641204,-109.94619601981582,-112.50930100002228,-117.37876955136602,-121.51056814170829,-111.3585134394009,-114.57872136133784,0.9164512613382908,-107.6315524293689,-115.83999409476911,-110.04326011424241,-122.92692565353745,-127.91714261286266,-112.67939426514226,-120.0286446674207,0.8808779805703058,-108.02983112738971,-114.93391897400409,-109.18266868920843,-123.08416407460393,-129.903134068233,-112.25936429058699,-119.30246875714302,0.8641774896025339,-105.09851998993614,-111.95389228773446,-109.15897631152355,-122.78086687260723,-127.08432797691505,-110.72425963592,-120.63462031021568,0.8712660435678043,-113.16998851161907,-118.76179046336216,-113.55293518905647,-126.34392750192386,-132.64318277719306,-116.24053368135222,-121.72862716843917,0.8763400519166286,-109.81551278547344,-116.77929868907519,-115.8684695067965,-124.75710626259843,-131.3877312744617,-116.3310099756362,-121.86512924869919,0.885402380018475,-110.07968120004475,-114.14439766703701,-108.96767080166708,-121.47594613704105,-125.06256190916724,-111.91046836924377,-117.33637529686965,0.8948358858226828,-107.23483897470251,-114.8188937031044,-110.30733079413737,-123.1784397260212,-128.65459766674104,-112.66146359007399,-119.14972005248546,0.8756893700908017,-109.2861973114845,-114.0819941373926,-107.06008063867623,-122.97293642826953,-128.9102700644406,-110.58477831152516,-116.79696642793168,0.8578430427323226,-105.10843674888123,-110.94269183368202,-104.89268993570327,-122.60868927916542,-129.0123469962949,-108.03278676785914,-116.37725403612595,0.8373833147222857,-104.79425218871445,-115.56750873707654,-111.94512686857121,-123.47181785985255,-128.8695334703071,-113.7089280111779,-118.39677546213004,0.8823569462007687,-101.78586699181989,-108.44563250517429,-108.78300028623886,-122.25875138040588,-128.4592342967449,-109.61984392436277,-119.09158759910592,0.8533434324475067,-108.0080690927384,-113.0889466604447,-105.72455428692916,-123.12582696632917,-128.4682604376552,-109.49943710603878,-118.34292142844696,0.8523462272549268,-110.23555389239972,-115.64755076758796,-107.18116616409091,-123.03085506823906,-126.72881935058355,-111.14936876349816,-118.97664805408655,0.877064659270704,-0.011080712230104274,0.006109497127902067,-0.004971215102202207,0.023087909329159426,0.006958769952046006,0.030046679281205434,18,0
-106.52312488244031,-112.28458892021722,-107.73200891222697,-121.80484187328632,-127.35658915573693,-110.6147386059736,-118.66811073198483,0.8685435071656112,-101.06381111346482,-109.90848933927629,-105.4924599703167,-118.28198139164624,-126.12470998954392,-108.5206173998531,-114.82313933191784,0.8604231273066931,-108.51808981887726,-112.98838566235175,-106.48844785842704,-122.30772539237381,-128.47136000559078,-110.31543249973261,-118.87112659616048,0.8586772374397837,-86.38450869486095,-106.27799881962949,-110.12585011588956,-117.61935460728203,-121.35927443187805,-109.40098028396771,-115.01959782639184,0.9014636977364031,-111.10844172607467,-114.50328732091221,-108.33703111039308,-122.56887481138413,-128.4817741540892,-111.73698080889714,-119.27532887133253,0.8696718390181171,-110.24724175758618,-114.37629075837232,-106.4525157171649,-122.70562798870255,-129.2579617707547,-110.86696923508178,-120.15166592848834,0.8577186868512577,-103.6790941426507,-111.08046186459528,-107.07270126317071,-120.89360655785033,-128.07063175387532,-109.67309474986008,-117.79408746396314,0.8563485105674233,-114.94697532932562,-119.39529067225799,-110.21333269069116,-124.68000008649854,-132.62281387922232,-115.19461338287338,-120.54358439927951,0.8685882165626455,-104.96952970079673,-114.62394644622647,-112.54356049328013,-123.62020308796876,-129.61034810975528,-113.58840597113277,-119.34004726826282,0.8763837735775929,-111.17990873565141,-113.94939873090446,-106.73000612819747,-120.72200966675867,-123.19624320147864,-110.8203014288469,-119.14403009826631,0.8995428638810701,-106.6030895205862,-111.06228049310927,-107.76512951828353,-122.01822819714762,-126.66978859127478,-110.134333184271,-118.39628977095842,0.8694601483834578,-108.56969894253693,-113.43439660995966,-105.64697381656717,-122.25166991211478,-127.41418657095113,-109.90825048931222,-118.91957239196105,0.8626060680308103,-107.48604263482302,-110.30181177341882,-104.27141801663937,-121.53919855177892,-128.18467913085274,-107.89056668012688,-117.42961875062747,0.8416806705112602,-107.45423857996212,-112.85398512393738,-111.49446192972844,-124.07719156874373,-127.72385803538124,-113.33426301612486,-120.257612811229,0.8873382370326595,-102.27766214819329,-108.18341413232521,-110.02846841941913,-122.03397745944179,-127.98962919451695,-110.35490369120352,-121.01531177280067,0.8622175436065026,-107.87266895637971,-111.57809365794317,-104.82793187112176,-122.29707794268431,-127.02109659192875,-108.47238670904835,-118.85274117737677,0.8539714237984383,-112.00899631727528,-112.03589131825551,-106.2218536763416,-121.2607427502051,-125.50707108069702,-109.62371816524522,-118.85601725274108,0.8734465494359333,-0.008188205682610352,0.004825859509430038,-0.0033623461731803143,0.020606839128135268,0.005339940925309993,0.02594678005344526,18,0
-108.09631940827309,-114.50694464773945,-108.7890691608472,-121.7294049897354,-127.43200494643413,-111.47665978004048,-118.88892109960692,0.8747932658432199,-103.06830409573845,-109.17465225775071,-106.22061227565767,-119.26888775413973,-125.5599540585265,-108.18732429724022,-115.73974285694769,0.8616387693707782,-108.99940140934501,-114.99710968039176,-107.98087960073025,-122.0527254798291,-127.90302508419043,-111.35807622493078,-118.40402463470394,0.8706445852365949,-106.82955611492397,-109.3703123478622,-111.97648874483338,-118.20732627448393,-122.11560877217599,-111.29850603999057,-116.48635121446853,0.9114191638485277,-108.10702944655256,-115.39521179158608,-109.12537095059643,-122.26623028158265,-128.227537125994,-112.26925436949519,-118.53058737774523,0.8755471475614595,-109.39231881656727,-117.40576569726034,-107.60292068905905,-122.23660886454961,-128.46154843740166,-111.99675676510003,-119.03488226736012,0.8718309729831352,-103.80690504663613,-112.61904176184187,-108.60442737691027,-121.20374061100208,-126.89044262887786,-110.66530911006437,-117.66280006287462,0.8721327376383431,-115.9191100338563,-120.720440268112,-111.82670704802007,-125.17693334522723,-130.88016843006994,-115.92044102298317,-122.45997196523174,0.8856990513801192,-111.21111804045717,-117.6952010054113,-113.86118767538423,-124.14840022493742,-129.86964892022218,-115.62691920850949,-119.76458449300088,0.8903305750794639,-110.89451369836985,-115.8785851430145,-107.99856108762324,-120.58515838738649,-122.86904832131316,-111.65945739296197,-119.1737243242757,0.9087679844395218,-107.34963588133277,-116.00442827863888,-109.59928838465679,-121.16426136327318,-126.40457507602872,-112.26713913035698,-119.63517249019822,0.8881572448056688,-108.64865194285426,-113.24251214586161,-107.42953741001618,-121.53141355387673,-128.6330938881872,-109.96182462752631,-119.04482016320124,0.8548486342333438,-106.35347018966996,-112.35770205673118,-104.65673919228033,-120.61701063390908,-128.74896325207686,-107.86210132492894,-116.90472465714973,0.8377706398594166,-106.40554289133351,-115.58656006525484,-112.35519513458036,-124.04259535567272,-129.33368558868432,-113.94858808782891,-121.66277287809878,0.881043384553471,-105.77601209640561,-112.00149258768602,-109.22916125815051,-121.85467433049237,-128.3227940585461,-110.84346619984294,-118.96005396974763,0.8637862588097297,-107.66373859039335,-114.2806655557129,-105.50312793573528,-121.9092349083379,-128.3567671109116,-109.38906524382372,-118.60006379622627,0.8522267092416086,-109.11580223793305,-115.38143372071488,-106.65490180932122,-121.40527846706642,-126.33521838973948,-110.37232743506395,-120.15846044248045,0.873646547984501,-0.01289504212295811,0.007356356236587998,-0.005538685886370112,0.016878795594942608,0.0023954679042621284,0.019274263499204736,18,0
-107.31459106876989,-113.86213979104566,-108.9228391327875,-121.93438956801549,-125.8325877283797,-111.47679658850045,-118.27865292441686,0.8859135665963777,-98.76027289390257,-109.630732859018,-107.6294691999212,-120.03319623612495,-124.1060602078803,-108.61802354219158,-116.26238567297867,0.8752032202154678,-110.44483292934555,-115.74205076640273,-108.44446922757867,-122.8010631536257,-126.5340646333109,-111.6051671464817,-119.67906817140036,0.8820167712932295,-92.17100612079567,-107.8729253587403,-110.77269709242506,-118.60589757533799,-121.0120705400174,-110.08584001397662,-116.96833964600697,0.9097095812237376,-109.3392893568213,-113.69115606613055,-109.62714037673477,-122.34529007451599,-125.96676995611412,-111.69323036514817,-119.27267516518376,0.8866880559377783,-108.4953821934106,-117.11150168336546,-109.5050943043131,-123.4745617791635,-126.75236386853067,-112.8425138101445,-119.67752761777143,0.8902596398690152,-102.89705308602406,-110.8914625118774,-109.9679079432993,-121.2674252241444,-124.01682490533335,-110.64577120345137,-118.09028278355629,0.8921835508037833,-113.73068530828786,-120.30450822243915,-113.19052029407095,-124.86058532161293,-130.28943168040527,-116.35176472646747,-122.22588907514371,0.8930253453854466,-111.20611074193398,-113.76275026284036,-113.07547004412461,-123.09367478826653,-124.57197439883853,-113.93433828744992,-119.33324777580893,0.9146065062970713,-109.53603641190932,-116.63324296011854,-109.19982175446216,-120.36294327762263,-123.81160403969922,-112.84616463730718,-116.79624314072815,0.911434477507649,-106.18427021968373,-113.8372804016564,-110.77724552090464,-119.40383988817882,-118.56166015187455,-112.33649218796558,-115.13268368648163,0.9474942577901264,-110.1944129252292,-115.7145224365431,-105.89127227445051,-122.15133914907047,-128.49531664569338,-110.71638691594367,-118.30925987523328,0.8616375273911933,-111.86796572261272,-110.47468904016371,-104.14053868620583,-121.84395180610058,-129.13470304641643,-107.72453708187389,-115.71941292063258,0.8342028481929692,-104.54257707132894,-113.18812203655432,-110.22968526677958,-124.15697395661894,-128.5380881265571,-112.48565678350718,-120.91513578751513,0.8751153718169132,-101.4553785730097,-111.53299249402669,-109.66907187697718,-122.49568439485938,-127.14701766044496,-111.00587307667821,-118.77531549918358,0.8730513315941645,-112.61216771774536,-116.07169507170916,-104.37244339252771,-122.2863175906181,-128.09659669571025,-110.04542530630277,-117.81055548164953,0.8590815692606767,-113.59601582827776,-115.33460448514477,-106.2725788698247,-121.76748887238698,-126.28685709724901,-110.6915603311172,-117.49042449139586,0.8765089485588954,-0.005197629584688718,0.007170855516806501,0.0019732259321177826,0.015519294740360503,-0.0040001512168621805,0.011519143523498324,18,0
-107.12584574430596,-113.98957003645175,-108.6086067066704,-121.51501431601416,-127.55195910982042,-111.65161908149133,-117.98345682921385,0.8753422515867505,-97.79822954052301,-108.05847371605705,-106.23912583056712,-118.61412379509733,-125.25949752197502,-108.07724726382172,-115.3476641794168,0.8628267668474486,-108.03931723551207,-115.11784329365537,-107.33971927583492,-121.17912548814242,-128.44618323579792,-111.23144632449674,-116.88455562617392,0.8659770459687476,-90.19579647576626,-108.79650917827048,-109.9546496019371,-117.33954116396019,-121.6578196255247,-109.98507612191415,-116.09658933486772,0.9040526655866392,-108.41447998771692,-114.09769984094629,-110.03022456650982,-121.35258896340966,-128.72098192800584,-112.55664075467519,-116.67056539978967,0.8744234162044271,-110.46897224464112,-115.45024484231625,-107.82027031354193,-121.80738471141989,-129.43919451491576,-111.95105298453751,-116.90089418103179,0.864892997859601,-105.58816256531695,-112.38900084188164,-108.81315998356386,-120.63489605819223,-126.85319146851745,-111.35327053827956,-116.50599390292872,0.8778121326645165,-113.66374558500343,-119.18324483654436,-111.97283741855767,-124.70663621789099,-130.79991706129096,-115.66819431968709,-121.66788261461713,0.8843139729628929,-105.53482888012135,-114.2798600438262,-113.12661036923124,-123.77946969804506,-129.27547855839552,-114.91006728365554,-118.87984520345313,0.8888775239130062,-111.1129672079565,-115.54406643472161,-107.75672978637866,-120.79667771846728,-123.95113309301584,-112.15907294569848,-117.80432320900957,0.9048652492876502,-109.93407803117455,-116.35749124222757,-108.94418709231662,-121.24997177909232,-127.93800974202554,-112.71288923213773,-117.15084318061425,0.8809961125658607,-112.19017571093421,-114.911091078906,-106.71304057875125,-122.05093603769734,-128.4767881411324,-110.80360398297907,-119.57787083378123,0.8624406446187054,-110.00942708969397,-112.43071572228386,-104.9719600066215,-121.41067104930161,-129.4153698752689,-109.0906660228102,-116.44515826222992,0.8429498453541666,-105.57065313255063,-114.5499282868285,-111.37325006299633,-123.33421466917817,-128.6399373522068,-113.13372820923308,-119.32325720984946,0.8794603801732362,-100.92951048687004,-111.93925732915453,-108.84691380056753,-122.53714237507823,-127.40721799791689,-110.70446922253997,-119.49055940422411,0.8689026490190689,-110.61425844157615,-114.5744161758463,-106.28988961572303,-121.8837357343177,-128.0445477001909,-110.29156442971184,-119.1795811416682,0.8613530713385261,-113.94892929353844,-116.15327771976187,-107.54513900362768,-121.56311359693618,-126.50607794094617,-111.79691566768321,-119.80972558376591,0.883727623900179,0.00034354618633842973,0.005479705960832102,0.005823252147170532,0.01681265233716772,0.001872754948543962,0.018685407285711685,18,0
